P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,2.44966e-05,3.39291e-05,0.0,0.0
2.0,5.77421e-05,5.02275e-05,0.0,0.0
3.0,8.7488e-05,5.19062e-05,1.7498e-06,6.999e-06
4.0,0.000101486,3.60297e-05,1.7498e-06,6.999e-06
5.0,0.0001469798,2.79961e-05,1.7498e-06,6.999e-06
6.0,0.0001802252,3.24532e-05,3.4995e-06,8.572e-06
7.0,0.0001994726,3.56882e-05,3.4995e-06,8.572e-06
8.0,0.0002309682,7.39053e-05,3.4995e-06,1.39981e-05
9.0,0.0002677132,6.41472e-05,5.2493e-06,1.39981e-05
10.0,0.0002992088,4.05099e-05,6.999e-06,1.3094e-05
20.0,0.0005966679,7.20595e-05,1.22483e-05,1.39981e-05
30.0,0.0009343714,0.0001554826,3.67449e-05,2.04055e-05
40.0,0.0012423291,0.0001871506,3.32454e-05,3.39291e-05
50.0,0.0015975302,0.0002703024,4.3744e-05,1.91677e-05
60.0,0.001896739,0.0001538993,4.89933e-05,3.60297e-05
70.0,0.0023166812,0.0002970265,4.54937e-05,2.57161e-05
80.0,0.0025039055,0.0004384046,5.0743e-05,6.20116e-05
90.0,0.0028293607,0.0002527418,5.59923e-05,4.64264e-05
100.0,0.0030200844,0.000324041,6.64909e-05,3.42881e-05
200.0,0.0062221438,0.0001965347,0.0001172339,6.31855e-05
300.0,0.0096061782,0.0006189302,0.0002012223,6.547e-05
400.0,0.0124477872,0.0004348988,0.0002554648,7.8564e-05
500.0,0.0157495829,0.0014449833,0.0003254552,7.77807e-05
600.0,0.0188904007,0.0009503883,0.0003989451,0.0001527811
700.0,0.0218352455,0.0013953559,0.0004916823,0.0001287709
800.0,0.0245088776,0.0010767263,0.0005056804,9.41624e-05
900.0,0.0281011333,0.0008900067,0.0006054167,0.0002023678
1000.0,0.0317108866,0.0017235475,0.0006211645,9.39019e-05
2000.0,0.0625993863,0.0036403975,0.0013070701,0.0002763512
3000.0,0.0979777683,0.0036904575,0.0020192222,0.0002425548
4000.0,0.1262976214,0.0050177164,0.0028031143,0.0003168176
5000.0,0.160697888,0.0106813651,0.0032090584,0.0002704836
6000.0,0.1923055388,0.0103718513,0.0041311815,0.0006895384
7000.0,0.2268772817,0.0098655677,0.0047103519,0.0004424643
8000.0,0.253844571,0.0134564626,0.0053507637,0.0004239476
9000.0,0.2883305757,0.0148214568,0.0059054374,0.0002523539
10000.0,0.3267272923,0.0154249731,0.0066438358,0.0006377002
20000.0,0.638401406,0.0298024906,0.0132019334,0.0012439299
30000.0,0.944745753,0.0439289068,0.0192893458,0.0007033423
40000.0,1.2182768651,0.0470528047,0.0250705503,0.0011909988
50000.0,1.4732097863,0.093812914,0.0303548232,0.0018656602
60000.0,1.6979261154,0.0626691668,0.0335078893,0.0023883028
70000.0,1.9100686746,0.0814683694,0.0379837734,0.0023887027
80000.0,2.0965195189,0.1092162102,0.0400957328,0.0023462438
90000.0,2.2728952496,0.0883303774,0.0441674226,0.0026143675
100000.0,2.414571505,0.0342029748,0.0467203213,0.0028114096
200000.0,3.1912056401,0.0325492875,0.0603019525,0.0012990993
300000.0,3.5120344941,0.0213599198,0.0664103619,0.0013620007
400000.0,3.6717892618,0.0107202332,0.0665888374,0.0031523145
500000.0,3.7595396873,0.0181416246,0.0680463868,0.0057211765
1000000.0,3.9449756713,0.0181567537,0.0741285499,0.0026431907
2000000.0,4.0408292319,0.0127489749,0.0774723398,0.002940187
3000000.0,4.0732750174,0.016945196,0.0782317353,0.0034268846
4000000.0,4.0975266803,0.0190706913,0.0830435732,0.0061868577
5000000.0,4.1096735089,0.0327672354,0.0860251629,0.0060465907
