P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,1.57478e-05,2.32132e-05,1.7498e-06,6.999e-06
2.0,4.3744e-05,2.92791e-05,0.0,0.0
3.0,7.52396e-05,1.78441e-05,1.7498e-06,6.999e-06
4.0,6.82406e-05,7.37394e-05,1.7498e-06,6.999e-06
5.0,0.0001294822,5.11935e-05,1.7498e-06,6.999e-06
6.0,0.0001417305,6.20116e-05,1.7498e-06,6.999e-06
7.0,0.0001259827,6.60288e-05,1.7498e-06,6.999e-06
8.0,0.000195973,5.26093e-05,3.4995e-06,8.572e-06
9.0,0.000232718,6.60288e-05,1.7498e-06,6.999e-06
10.0,0.0001784754,9.68551e-05,1.7498e-06,6.999e-06
20.0,0.0004689355,0.0001254957,1.7498e-06,6.999e-06
30.0,0.0006771568,0.0001035763,1.7498e-06,6.999e-06
40.0,0.0008363849,9.29845e-05,6.999e-06,1.3094e-05
50.0,0.0010341077,0.0001983952,8.7488e-06,1.10664e-05
60.0,0.0013263175,0.000204834,5.2493e-06,1.39981e-05
70.0,0.0013875591,0.0002078019,6.999e-06,1.3094e-05
80.0,0.0016517727,0.0003622297,6.999e-06,1.3094e-05
90.0,0.0019562308,0.0003050007,1.7498e-06,6.999e-06
100.0,0.0021329565,0.0003854875,8.7488e-06,1.56503e-05
200.0,0.004171426,0.0005379933,1.74976e-05,2.92791e-05
300.0,0.0062623883,0.0006954627,1.57478e-05,2.04055e-05
400.0,0.0085335758,0.0004582365,3.67449e-05,3.0104e-05
500.0,0.0104548114,0.0007193192,5.0743e-05,3.0104e-05
600.0,0.0124670345,0.0004590909,4.72435e-05,2.37349e-05
700.0,0.014346276,0.000764979,6.99904e-05,3.67033e-05
800.0,0.0169569167,0.0010162712,5.24928e-05,6.26013e-05
900.0,0.0188886509,0.0010172108,6.29913e-05,6.67666e-05
1000.0,0.0213978057,0.0019602739,6.99904e-05,3.83353e-05
2000.0,0.0424036653,0.0024349055,0.0001277324,4.3709e-05
3000.0,0.0639641985,0.0037780766,0.0002554648,6.85763e-05
4000.0,0.0855194825,0.0079521889,0.0003289547,7.05133e-05
5000.0,0.1070380216,0.0040009246,0.0004041944,7.8564e-05
6000.0,0.1301488415,0.0105076992,0.0004706852,6.76775e-05
7000.0,0.1490234944,0.0045415283,0.0005879191,0.0001465626
8000.0,0.1725822527,0.0092290045,0.0006229143,0.0001224331
9000.0,0.1924350209,0.0084835041,0.0006754071,6.67666e-05
10000.0,0.2152273847,0.0107887572,0.0007261501,0.0001271438
20000.0,0.4248782867,0.0285283729,0.0015345388,0.0001087669
30000.0,0.6306867175,0.0264553935,0.0023079324,0.0002203307
40000.0,0.8330463728,0.0404421645,0.0028626061,0.0002197742
50000.0,1.0549525885,0.0366782302,0.0036639958,0.0002026702
60000.0,1.1912080898,0.0164941531,0.0042274183,0.000371246
70000.0,1.3724254043,0.0472194313,0.0047908408,0.0004013934
80000.0,1.5144218656,0.0585065994,0.0053542633,0.0007927008
90000.0,1.6732300136,0.0932319624,0.0059544307,0.0003776563
100000.0,1.7915994759,0.0591731244,0.0060034239,0.0003452661
200000.0,2.7377012923,0.0822910226,0.009280723,0.0004947086
300000.0,3.1749713739,0.0653591063,0.0103130809,0.0009088243
400000.0,3.4295805897,0.0651993848,0.0112649499,0.0008705716
500000.0,3.5684782274,0.0337069277,0.0116236506,0.0006382761
1000000.0,3.8793142064,0.0341730933,0.0121415793,0.0007207139
2000000.0,4.0437460805,0.0101160117,0.0136236254,0.0007704824
3000000.0,4.0885819111,0.0073840619,0.0141555522,0.0010112942
4000000.0,4.1143681129,0.0156456046,0.0144582605,0.0008573892
5000000.0,4.1433896196,0.0116396772,0.0151616638,0.0009458416
