P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,0.0001924735,6.73146e-05,0.0,0.0
2.0,0.000334204,7.12047e-05,0.0,0.0
3.0,0.0005581732,0.0001574394,0.0,0.0
4.0,0.0007593955,0.0002211629,1.7498e-06,6.999e-06
5.0,0.0009326217,0.0001406789,1.7498e-06,6.999e-06
6.0,0.0010848507,0.0002001162,1.7498e-06,6.999e-06
7.0,0.0012563271,0.0002242424,1.7498e-06,6.999e-06
8.0,0.0014330528,0.0001768556,1.7498e-06,6.999e-06
9.0,0.0016360249,0.0002959111,1.7498e-06,6.999e-06
10.0,0.001845996,0.0003887459,1.7498e-06,6.999e-06
20.0,0.0036622461,0.0005087679,6.999e-06,1.3094e-05
30.0,0.0056482228,0.0004246691,1.39981e-05,1.39981e-05
40.0,0.0077601822,0.0005659058,1.04986e-05,1.3094e-05
50.0,0.0091634891,0.0005718903,2.27469e-05,3.60297e-05
60.0,0.0112701992,0.0004424366,2.09971e-05,3.05081e-05
70.0,0.0126420105,0.0017463965,2.09971e-05,2.09971e-05
80.0,0.0148869516,0.0005011281,2.44966e-05,2.04055e-05
90.0,0.0164652344,0.0006326293,2.62464e-05,3.49952e-05
100.0,0.0181992458,0.0014224757,3.49952e-05,2.21329e-05
200.0,0.0372086301,0.00203397,4.89933e-05,5.26093e-05
300.0,0.058945889,0.00344788,7.52396e-05,4.3709e-05
400.0,0.0762247615,0.0037154867,7.69894e-05,6.00042e-05
500.0,0.0944642517,0.0045280118,0.0001312319,3.13006e-05
600.0,0.1134648872,0.0044955725,0.0001679769,0.0001097756
700.0,0.1336396112,0.0056131273,0.0001662271,5.7503e-05
800.0,0.1515134018,0.0096311135,0.0002187199,9.05828e-05
900.0,0.1669287806,0.0150765307,0.0002589644,7.39053e-05
1000.0,0.1936283567,0.0101912743,0.0002887103,8.78372e-05
2000.0,0.3974088165,0.0175331414,0.000559923,9.25886e-05
3000.0,0.5827748102,0.0335696368,0.0007436477,0.0001835163
4000.0,0.745108723,0.0438819006,0.0010131106,0.0002767497
5000.0,0.9552705548,0.0385819989,0.0013315668,9.21909e-05
6000.0,1.1342849224,0.1021086237,0.0015292896,0.0001370632
7000.0,1.3142091648,0.0501017994,0.00174451,0.0003805636
8000.0,1.4703156846,0.0802438435,0.0019439825,0.0003425955
9000.0,1.6033638771,0.0614095151,0.0022379421,0.000280049
10000.0,1.7540531423,0.1338292797,0.0022764368,0.0001229323
20000.0,2.7543327538,0.1127642985,0.0035327639,0.0001278163
30000.0,3.2122097499,0.0613677532,0.0039352085,0.000201458
40000.0,3.4522539699,0.0285386033,0.0041259323,0.0005262792
50000.0,3.6285194657,0.034348051,0.0042974087,0.0002988761
60000.0,3.7025535286,0.0504037643,0.0044898822,0.0003121053
70000.0,3.766344501,0.0237517389,0.004454887,0.0005326171
80000.0,3.8368475498,0.0364376988,0.0045388755,0.0003379165
90000.0,3.8813824218,0.0457847721,0.0044933817,0.0005490565
100000.0,3.8959141722,0.038758973,0.0045248774,0.0006508916
200000.0,4.0528745745,0.0162676071,0.0043883962,0.0007637133
300000.0,4.1096560113,0.0184270653,0.0050043114,0.0005373784
400000.0,4.1412164186,0.0191498146,0.0046246137,0.0005283693
500000.0,4.1600630753,0.012609525,0.0047558456,0.0008921096
1000000.0,4.1928028203,0.0284623834,0.0050515549,0.0002098544
2000000.0,4.2472938224,0.0634506439,0.0052072835,0.0004787311
3000000.0,4.2811621621,0.0639529431,0.0054854952,0.000277986
4000000.0,4.2942451119,0.0419174983,0.006635087,0.0007091686
5000000.0,4.2768227592,0.0495632292,0.0087103015,0.000805011
