P,q
0.000129254,0.034401744
0.000261018,0.056442967
0.000441744,0.080249205
0.000654262,0.103227745
0.000867599,0.1233501
0.001134249,0.145876773
0.002341364,0.226891532
0.003358463,0.280868531
0.004466439,0.33237677
0.005662178,0.382051137
0.006948156,0.424902278
0.007971719,0.457556707
0.009100879,0.50202608
0.010485498,0.545785604
0.011332585,0.572294461
0.017342751,0.735490033
0.022651732,0.866999329
0.034233167,1.10717254
0.045250277,1.303435241
0.056700586,1.479381893
0.066336118,1.6067616
0.079329091,1.759428671
0.090710213,1.880197256
0.102043766,1.987215254
0.113127421,2.08304832
0.166694623,2.445272521
0.227798336,2.73529453
0.285259078,2.937385485
0.342752898,3.097402215
0.39660216,3.220902677
0.454610017,3.328856449
0.511256088,3.417839856
0.56816943,3.495335485
0.68330635,3.614799063
0.796325809,3.712520788
0.91043722,3.792161638
1.02412744,3.864350918
1.131470526,3.96786252
