P,q
0.000519603,0.000285332
0.000703325,0.000437469
0.000891822,0.000646285
0.00109822,0.000896964
0.002256997,0.003135626
0.00343063,0.005464902
0.004552808,0.007658487
0.005683556,0.009880175
0.006961812,0.011841409
0.008175458,0.008279104
0.010456316,0.017578475
0.01168451,0.019625559
0.019510905,0.032687608
0.022767504,0.040442862
0.034116287,0.061074942
0.045347732,0.080134328
0.056787447,0.098511
0.067721573,0.116837582
0.07950319,0.134031213
0.090749455,0.150911573
0.101952892,0.168297373
0.113929286,0.186449504
0.169435863,0.262835764
0.226779661,0.335457168
0.283565755,0.40440633
0.341235017,0.469291774
0.397664736,0.529416046
0.454484417,0.588431077
0.511041547,0.642630114
0.567930477,0.695611383
0.682052791,0.793843261
0.7959,0.88875756
0.909692977,0.978299005
1.023403216,1.061269675
1.130541728,1.165119586
