P,q
0.01086494,0.002420328
0.011892276,0.003428447
0.019609281,0.007681041
0.026063473,0.015842426
0.034221536,0.021083256
0.045680107,0.029700099
0.056783297,0.038591395
0.06795951,0.047683904
0.079441265,0.055405427
0.090116857,0.063445745
0.102100781,0.072702562
0.113415524,0.080218623
0.169788587,0.117131614
0.226938807,0.154295622
0.284391595,0.190255902
0.341121704,0.226279033
0.397850593,0.260937437
0.454633982,0.293597246
0.511798605,0.325404452
0.566969292,0.35712671
0.682412015,0.413276888
0.796229137,0.469086342
0.910037513,0.521760388
1.02354798,0.577155798
1.131238123,0.652221322
