P,q
0.000149649,0.01136692
0.000238035,0.017386634
0.000461203,0.031105121
0.000694795,0.043371121
0.000910855,0.053379056
0.001138906,0.063178644
0.002300208,0.106964781
0.003437322,0.141307256
0.004498396,0.169241659
0.005663971,0.196832593
0.006980828,0.21873096
0.007995231,0.231093725
0.00895521,0.256476185
0.010527603,0.28530686
0.011376844,0.298718146
0.016828751,0.38165218
0.022803626,0.466105412
0.034011366,0.601128765
0.044779663,0.719546777
0.056716205,0.839274318
0.067237437,0.932429549
0.079364718,1.033717086
0.0906502,1.120043945
0.102475066,1.206295377
0.113274077,1.28176212
0.167150569,1.595406963
0.226780882,1.870078125
0.283957488,2.084510098
0.342171565,2.265791583
0.396605985,2.413231456
0.454510294,2.546970942
0.511178376,2.659963909
0.568008107,2.762234085
0.68274113,2.928358471
0.795853517,3.065317912
0.910014403,3.183167027
1.023616415,3.281343012
1.131108169,3.380239452
