#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	1921.82
firstFrontCount	1
frontCount	90
avgEvalTime	279.083
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
145737	412.977	0.35127	0.248924	0.0375709	95983.3	71.2262	87.4506	8.57365	221.532	0	0	
236039	459.538	0.261558	0.897056	0.911642	37005.7	16.6052	79.0659	2.59467	1282.24	0	0	
245753	229.466	0.648224	0.252552	0.53082	67042.1	11.2686	52.3334	8.20428	181.948	0	0	
122806	226.845	0.656357	0.365296	0.941361	72485.8	28.6126	59.9286	8.15495	251.257	0	0	
211572	378.644	0.887003	0.85766	0.13824	27023.9	23.8276	12.6012	2.06359	114.659	0	0	
219290	308.434	0.910545	0.760217	0.305124	54601.7	33.2347	75.9569	2.81733	131.649	0	0	
249208	406.797	0.740329	0.403429	0.582638	52205.7	17.8539	84.5846	6.80161	255.524	0	0	
153465	485.047	0.190099	0.369947	0.412961	31284	27.555	73.4841	3.26384	313.443	0	0	
204467	155.124	0.463526	0.932709	0.221571	10090.8	91.5946	71.2038	5.60466	135.09	0	0	
204414	60.4301	0.986943	0.423072	0.622738	45403	10.6896	59.0756	5.56377	128.601	0	0	
149356	32.2437	0.834895	0.143425	0.319994	80507.7	97.516	62.7818	7.44631	105.4	0	0	
245539	328.984	0.661323	0.944902	0.53438	45859.6	70.3412	49.6481	2.93012	240.407	0	0	
187841	278.345	0.397234	0.458445	0.746322	57011.5	54.139	17.9811	3.75596	323.604	0	0	
189512	322.601	0.705256	0.993358	0.923551	18300.7	95.8186	24.6516	8.79319	324.682	0	0	
219401	127.711	0.0788893	0.370037	0.807274	16903.9	41.9026	21.881	3.10726	146.914	0	0	
112429	353.903	0.0947521	0.655109	0.180296	68626.1	54.8827	35.606	7.81392	411.585	0	0	
263672	469.703	0.0103196	0.67635	0.0172086	19577.9	19.6115	43.0398	3.67725	675.754	0	0	
169228	132.314	0.389323	0.478935	0.637276	80879.8	34.2995	85.9584	7.18328	207.063	0	0	
265220	99.2742	0.0741275	0.649315	0.697522	20045.6	18.6241	63.805	7.68563	171.684	0	0	
262916	53.8241	0.726653	0.913471	0.453187	16361.9	31.715	75.8679	2.28344	167.55	0	0	
184905	274.705	0.944751	0.288015	0.124005	68159.8	19.757	98.5147	3.73841	120.007	0	0	
221271	410.181	0.823453	0.540135	0.755514	92359.7	91.0877	29.2814	5.82943	346.846	0	0	
256942	105.276	0.741951	0.528002	0.581593	33449.3	17.634	36.832	8.41991	128.134	0	0	
194104	142.039	0.757711	0.794955	0.0308736	89198.8	81.8353	39.1749	6.68331	98.6518	0	0	
159259	465.677	0.286321	0.251992	0.740263	52942.1	68.81	96.9918	4.19119	320.178	0	0	
115288	397.793	0.368076	0.626589	0.18967	16922.7	23.8296	84.4188	4.1067	182.611	0	0	
176777	328.867	0.811023	0.78964	0.376692	27087.6	68.1852	10.3245	3.98022	157.735	0	0	
227720	300.117	0.328783	0.990056	0.130771	76228.9	24.0955	49.1183	7.8257	206.828	0	0	
171982	47.3566	0.555787	0.346537	0.139414	72968.9	53.7314	26.4445	2.7085	110.763	0	0	
140317	76.0255	0.327313	0.955491	0.531488	32291.7	49.3549	70.2179	5.83387	114.897	0	0	
221811	432.936	0.383082	0.77406	0.163563	15231.1	40.5736	83.5459	4.64283	230.933	0	0	
294521	306.606	0.341471	0.935185	0.890456	86563.6	33.1113	35.6946	7.45963	712.432	0	0	
240279	251.331	0.958314	0.528545	0.985007	54152.1	55.3108	79.1896	4.71659	618.955	0	0	
190652	75.0984	0.753336	0.608713	0.645664	81825.2	29.8403	87.2102	8.3331	132.841	0	0	
158404	365.676	0.342657	0.345413	0.176869	69761.6	58.2266	84.6198	3.87153	212.71	0	0	
135231	221.281	0.476142	0.806699	0.138039	14622	66.4756	12.6179	2.95336	147.907	0	0	
238911	262.683	0.541731	0.827635	0.787812	55168	34.8969	20.7698	8.20618	309.126	0	0	
294058	471.838	0.635366	0.181531	0.083214	26420.6	12.8519	75.2443	3.00911	222.924	0	0	
227185	397.025	0.564928	0.439673	0.815154	37439.3	38.7436	80.6482	5.52616	353.697	0	0	
152199	368.913	0.169691	0.928968	0.227779	17524.8	16.6331	79.2596	7.72374	257.039	0	0	
248085	381.542	0.951971	0.519782	0.781257	48031.1	94.9357	10.1183	8.86888	266.826	0	0	
214039	179.771	0.556353	0.369806	0.165891	69873.1	71.5783	81.3168	4.44037	140.727	0	0	
150015	179.052	0.33206	0.934737	0.750951	35941.5	64.5562	78.9426	7.92307	185.59	0	0	
280396	301.897	0.0771654	0.296239	0.86202	47279.6	69.5088	80.5136	3.7352	436.259	0	0	
210885	122.497	0.0167745	0.789975	0.0313966	45379.3	32.7286	28.3795	6.63596	228.43	0	0	
282948	13.3822	0.741495	0.819704	0.899643	97711.7	20.7877	56.7073	7.75382	126.672	0	0	
227405	477.416	0.937988	0.969945	0.0759973	49378.1	38.8756	22.0647	2.9421	94.2934	0	0	
261190	267.134	0.935372	0.989506	0.411696	43406.9	30.4169	50.1428	3.86355	154.714	0	0	
191819	222.124	0.264431	0.220343	0.420844	55617.4	39.1892	71.622	5.10165	183.303	0	0	
