#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	734.523
firstFrontCount	1
frontCount	90
avgEvalTime	91.8394
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
124320	22.5866	0.748075	0.816575	0.86185	18961.7	67.2722	71.3295	2.39655	105.293	0	0	
114187	437.36	0.20618	0.592654	0.400073	53991.6	15.4296	27.627	5.63502	299.826	0	0	
174757	455.893	0.949111	0.124824	0.230367	62478.9	52.6127	47.521	7.3295	137.626	0	0	
125879	469.609	0.636743	0.118316	0.333128	66210.8	29.2497	87.7874	2.6502	222.349	0	0	
147857	413.326	0.301813	0.593728	0.542427	76719.5	49.6698	76.904	3.85907	383.236	0	0	
149367	358.061	0.46336	0.223344	0.825199	83380.3	64.9734	60.5235	2.34112	540.581	0	0	
284178	375.342	0.827038	0.285737	0.984126	98430.4	72.5688	98.7487	8.76297	531.232	0	0	
241333	105.552	0.711633	0.896514	0.322568	33523.6	99.1953	65.131	2.60223	156.327	0	0	
294732	138.259	0.599221	0.207585	0.799738	87555.9	17.6752	25.3357	4.50975	209.469	0	0	
207982	113.933	0.229952	0.793034	0.888207	11723.4	84.1297	63.0541	8.88012	144.826	0	0	
110632	196.765	0.203274	0.645524	0.11789	83169.8	12.2043	76.3525	2.4392	374.902	0	0	
274109	171.5	0.28611	0.139915	0.407532	42491.9	78.8094	27.3879	6.98001	135.671	0	0	
249220	493.745	0.699572	0.283618	0.0735135	57422.6	72.512	62.8759	6.06572	141.374	0	0	
114290	474.647	0.849733	0.848303	0.351887	97428.4	27.6989	31.7921	4.24982	134.904	0	0	
120215	365.211	0.985156	0.220202	0.206618	49596.4	70.7653	33.4201	3.15329	130.367	0	0	
295484	228.957	0.290985	0.489043	0.27937	26322.3	80.9054	85.4144	7.83138	182.067	0	0	
163432	287.184	0.273878	0.968477	0.609713	13704.9	32.2376	63.6636	5.42264	262.782	0	0	
202907	375.336	0.906436	0.212938	0.529469	87442.5	85.9436	73.7295	7.65112	175.525	0	0	
153833	135.868	0.319736	0.511532	0.324763	44551.9	64.2946	98.928	2.40097	198.68	0	0	
272661	194.893	0.0710917	0.205155	0.0485725	90906.2	10.9395	93.4424	4.03032	362.852	0	0	
254571	159.092	0.871937	0.324687	0.303562	31560.3	49.9502	29.5575	5.28655	116.149	0	0	
205698	65.3508	0.199827	0.229468	0.778728	84678	53.8361	82.6073	4.21648	174.833	0	0	
197620	495.95	0.947798	0.891446	0.759729	51871	97.2839	16.4392	7.36714	339.931	0	0	
236774	40.015	0.436387	0.36758	0.591232	69355.1	73.6106	74.1233	2.26719	171.251	0	0	
224094	384.897	0.57427	0.6493	0.580584	43268.2	16.9636	81.7215	5.24558	274.506	0	0	
217887	249.763	0.0216802	0.51444	0.57778	69096.4	69.1853	68.2722	8.78297	381.156	0	0	
120729	105.443	0.853576	0.987016	0.348555	73822.7	78.9853	82.66	5.25855	115.632	0	0	
194005	165.403	0.316776	0.931617	0.824545	60201.5	85.5587	90.1777	8.16921	279.043	0	0	
219177	182.982	0.486714	0.81871	0.0968464	11790	61.1734	44.8592	6.71661	149.6	0	0	
