Pressure (bar),CO2 Loading,CO2 Std,CO2 CV,H2S Loading,H2S Std,H2S CV,CH4 Loading,CH4 Std,CH4 CV
1e-05,1.1111e-06,1.5175619847296844e-06,136.58194444511605,6.944e-07,1.2255682376678423e-06,176.4931217839635,1.389e-07,4.4753579549671594e-07,322.19999675789484
3e-05,3.3333e-06,1.6441865834555373e-06,49.32609076457376,2.6389e-06,1.924742230632474e-06,72.93729321431181,1.8056e-06,1.817771831708853e-06,100.67411562410572
5e-05,5.1389e-06,3.132508918479443e-06,60.95679850706266,3.4722e-06,3.393329815854959e-06,97.72852415917744,3.0556e-06,1.817771831708853e-06,59.489849185392494
7e-05,7.9167e-06,2.8828039209920746e-06,36.41421199479675,4.1667e-06,3.084178918965758e-06,74.01970189756301,5.4167e-06,1.6441865834555373e-06,30.354027054397275
0.0001,1.16667e-05,3.90119756074459e-06,33.4387406956945,5.8333e-06,3.0515561692940215e-06,52.31269040327125,6.6667e-06,2.3036494268197583e-06,34.55456862945322
0.0003,3.41667e-05,1.6187488937115014e-05,47.37797017890231,2.44444e-05,4.973076399958917e-06,20.344440444269104,2.18056e-05,5.131598798363801e-06,23.533398752447997
0.0005,5.33333e-05,1.6987350429066487e-05,31.85130196156339,3.51389e-05,4.5084640046340325e-06,12.83040733954117,3.31944e-05,5.0727972989554855e-06,15.282087638142233
0.0007,7.80556e-05,9.53502560405476e-06,12.21568420978733,4.91667e-05,1.0646373942871928e-05,21.65362723728037,4.68056e-05,5.598224943668423e-06,11.960587928941031
0.001,0.0001098611,1.3073587068448339e-05,11.900105741202607,6.93056e-05,1.3599175813159654e-05,19.622044702245784,6.90278e-05,5.553358594119885e-06,8.045104427665208
0.003,0.0003281944,1.8404708214804468e-05,5.607867841378302,0.0002151389,2.6374002934614237e-05,12.259058187345124,0.0001961111,3.7216596675511724e-05,18.977302496142098
0.005,0.0005575,2.1184327586834828e-05,3.7998793877730628,0.0003568056,3.8256658265046205e-05,10.72198930315169,0.0003245833,3.412903465658001e-05,10.51472292523368
0.007,0.0007830556,1.626771673630773e-05,2.077466368455539,0.0004859722,2.508995539753484e-05,5.16283758567565,0.0004573611,4.707583602630412e-05,10.292925223921342
0.01,0.0011236111,2.485539379989509e-05,2.2120993464638334,0.0007098611,1.7609599172805172e-05,2.4807105464442514,0.0006533333,2.4453288203941236e-05,3.742850426258885
0.03,0.0032983333,7.364944185890988e-05,2.2329290329424825,0.0020991667,7.81633832634888e-05,3.723543407176228,0.0019843056,8.402581220449868e-05,4.234519733477478
0.05,0.0055202778,9.163754547790638e-05,1.6600169194004402,0.0035261111,0.00010134317598024445,2.8740777901253436,0.00333375,6.220328697408565e-05,1.8658653760505632
0.07,0.0077419444,6.442525870172728e-05,0.8321586331946181,0.0049961111,0.0001864572186737929,3.7320470850576744,0.0046029167,8.282803371655121e-05,1.7994684482678387
0.1,0.0111068056,0.0001775416225635052,1.59849401310765,0.0070848611,0.00016143742232555214,2.2786250858969153,0.0066323611,0.0001762982527760165,2.658152204288402
0.3,0.0336872222,0.0006345155420152509,1.8835496089530674,0.0219441667,0.00030971200818355395,1.4113637232966971,0.0199913889,0.00038349838504108595,1.9183178665544642
0.5,0.0562819444,0.0007542917798100147,1.3402020627596063,0.0366805556,0.00037942086353211555,1.0343923567289575,0.0328080556,0.0004151232813228636,1.2653090033255847
0.7,0.0790377778,0.0011786859632895905,1.4912944114802662,0.0516863889,0.0005804394277593864,1.123002477271896,0.046585,0.0005353106463134902,1.1491051761586137
1.0,0.1131533333,0.0037453957385623305,3.3100180342299566,0.0744555556,0.0010537099813971488,1.4152200905705803,0.06646,0.0009617392005725956,1.447094794722533
3.0,0.3306461111,0.004089813922146657,1.2369157793934378,0.2293488889,0.0044855184513149194,1.955762015167504,0.1952080556,0.0019155285995251855,0.9812753851973645
5.0,0.5247822222,0.009130974645070481,1.7399550249228088,0.3739391667,0.004796814958532529,1.2827794961582262,0.3055563889,0.005110748431073606,1.6726040157341335
7.0,0.6831388889,0.0055198802423567575,0.8080172761420373,0.5073775,0.012528547351582747,2.469275313072169,0.3975252778,0.004265126967882588,1.0729196873936724
10.0,0.8607530556,0.0037943393679698407,0.4408162530802685,0.6557825,0.009718143300312156,1.4819156199368169,0.5008738889,0.0035165196015153736,0.7020768459777808
30.0,1.3423641667,0.004502168941647376,0.33539102527708864,1.0600858333,0.011065084518408696,1.0437913771532612,0.7827105556,0.006866869226602816,0.877319103143933
50.0,1.4544202778,0.013746864881073547,0.9451783016850858,1.136435,0.009086189006621134,0.7995344218209693,0.8829658333,0.00938595784235474,1.06300351478784
