P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
791146.0,200,0.0958512,0.578554,0.178444,122176,23,27,0.00547807,0.0102269,0.9259860148350327,0.8988718634602615
607274.0,213,0.302644,0.270692,0.284488,165811,47,41,0.00181273,0.0624768,0.9574238329578625,0.7500464043067194
958609.0,90,0.916068,0.392033,0.332401,118459,11,28,4.97454e-06,0.399941,0.9977696323173073,0.36759111328192107
493431.0,457,0.278165,0.361636,0.903549,23714,14,37,100000.0,100000.0,-315.22776601683796,-315.22776601683796
728048.0,415,0.160938,0.600593,0.120553,175660,32,36,0.00733277,0.0223649,0.9143684053634408,0.8504510113708554
549206.0,264,0.666347,0.354332,0.697549,52124,47,40,100000.0,100000.0,-315.22776601683796,-315.22776601683796
218326.0,195,0.738782,0.463029,0.551309,63005,36,37,1.04987e-06,0.124214,0.9989753683588724,0.6475599341731988
692684.0,223,0.812577,0.505237,0.361513,43647,44,49,100000.0,100000.0,-315.22776601683796,-315.22776601683796
751067.0,263,0.964055,0.166234,0.225269,26362,13,33,0.00347634,0.585877,0.9410395047510624,0.23457397483492892
273873.0,180,0.541094,0.33423,0.618276,95463,39,34,3.92156e-05,0.0591844,0.9937377639776195,0.7567215587027901
723414.0,478,0.347146,0.762361,0.744064,184039,19,35,0.00901896,0.00897447,0.9050317947942575,0.9052663206668293
893881.0,469,0.407642,0.139283,0.791355,185321,32,44,0.00456159,0.0109214,0.9324604560275982,0.8954944977525107
434279.0,481,0.317721,0.206753,0.197801,34149,46,17,2.74021e-08,0.0806569,0.999834464203267,0.715998415497378
493789.0,377,0.307761,0.423147,0.063864,40890,37,23,0.000759151,0.093261,0.9724473050319937,0.694613359820702
874622.0,364,0.960565,0.489619,0.40991,83407,18,28,0.0043112,0.330117,0.9343402710940717,0.42544190894218537
430729.0,389,0.396308,0.796443,0.485497,99797,19,33,0.00640003,0.0447912,0.9199998125002198,0.7883606841817901
583492.0,343,0.503426,0.541294,0.970585,157999,13,39,0.00935489,0.000808084,0.9032793196880833,0.9715731816764521
218749.0,124,0.716685,0.709439,0.246985,35178,42,37,2.74797e-05,0.312959,0.9947578916455304,0.44057261418482563
812568.0,161,0.528545,0.501283,0.792803,172727,38,12,0.00609573,0.0170462,0.9219248439002521,0.8694389031908816
425874.0,176,0.216924,0.634288,0.722124,93850,15,38,0.00274598,0.00660462,0.9475979008054066,0.9187311867934569
