Number,composition,Ag,Al,B,Ba,Bi,Br,C,Ca,Ce,Cl,Co,Cr,Cu,Er,F,Fe,Ga,Gd,Ge,H,Hf,I,In,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pr,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Ti,V,W,Y,Zn,Zr,Density (g/cm3),POAV (cm3/g),a,b,c,log_target
40,La0.5Li0.5TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,6.72473,0.0,3.8688,3.8688,7.7463,-3.033858267
41,La0.62Li0.14(Mg0.5W0.5)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129166667,0.029166667,0.0,0.104166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104166667,0.0,0.0,0.0,7.98826,0.0,5.533,5.533,7.903,-4.920818754
42,La0.62Li0.14TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129166667,0.029166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208333333,0.0,0.0,0.0,0.0,0.0,6.68552,0.0,3.8655,3.8757,7.7845,-3.354577731
43,La0.63Li0.11(Mg0.5W0.5)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134042553,0.023404255,0.0,0.106382979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106382979,0.0,0.0,0.0,7.98537,0.0,5.534,5.534,7.903,-5.167491087
44,La0.64Li0.08TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136170213,0.017021277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212765957,0.0,0.0,0.0,0.0,0.0,6.68434,0.0,3.8638,3.8753,7.7901,-3.474955193
45,La0.65Li0.05(Mg0.5W0.5)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138297872,0.010638298,0.0,0.106382979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638297872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106382979,0.0,0.0,0.0,7.98826,0.0,5.533,5.533,7.903,-6.744727495
46,La3Li5.08Ta1.51Zr0.39O12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136363636,0.230909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068636364,0.0,0.0,0.0,0.0,0.0,0.0,0.017727273,5.62306,0.0,12.8363,12.8363,12.8363,-3.987162775
47,LaLiO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66823,0.0,5.874,6.2129,5.8481,-10.0
48,Li(LaTiO4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.0,4.9866,0.0,3.77,3.77,12.076,-10.0
49,Li(Li0.34Ti1.66)O4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237142857,0.0,0.0,0.0,0.0,0.0,1.92709,0.0209124,8.362,8.362,8.362,-7.219682688
50,Li(NdTiO4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.0,5.23229,0.0,3.7465,3.7465,11.895,-10.0
51,Li(Ti0.4Sn1.6)(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088888889,0.0,0.0,0.0,0.022222222,0.0,0.0,0.0,0.0,0.0,2.81495,0.0748647,8.6121,8.6121,21.3574,-5.501689446
52,Li(Ti0.6Sn1.4)(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077777778,0.0,0.0,0.0,0.033333333,0.0,0.0,0.0,0.0,0.0,2.83336,0.073743,8.5983,8.5983,21.2868,-5.025949097
53,Li(Ti1.4Sn0.6)(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333,0.0,0.0,0.0,0.077777778,0.0,0.0,0.0,0.0,0.0,2.89867,0.0746203,8.5491,8.5491,21.0473,-4.642065153
54,Li0.02Na0.48La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.002222222,0.0,0.0,0.0,0.0,0.0,0.053333333,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.784,0.0185235,3.9167,3.9304,7.846,-5.399027104
55,Li0.04Na0.46La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.004444444,0.0,0.0,0.0,0.0,0.0,0.051111111,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34286,0.0297294,3.918,3.923,7.86,-5.228412519
56,Li0.07Na0.43La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.007777778,0.0,0.0,0.0,0.0,0.0,0.047777778,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77075,0.0146948,3.923,3.9311,7.85,-4.910094889
57,Li0.19La0.67(Ti0.9Co0.1)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136734694,0.03877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183673469,0.0,0.0,0.0,0.0,0.0,6.64278,0.0,7.7722,7.7722,7.7722,-3.966576245
58,Li0.1Na0.1La0.6TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.020833333,0.0,0.0,0.0,0.0,0.0,0.020833333,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208333333,0.0,0.0,0.0,0.0,0.0,3.72007,0.0578538,10.54982162,9.03138305,9.40610082,-4.211124884
59,Li0.1Na0.4La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.011111111,0.0,0.0,0.0,0.0,0.0,0.044444444,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79819,0.0127523,3.915,3.915,7.861,-4.91721463
60,Li0.1Sr0.8Ti0.7Nb0.3O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163265306,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.0,3.39148,0.0674926,9.35726921,7.92884766,12.66943426,-8.0
61,Li0.25La0.25TaO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.055555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69969,0.0109095,5.00993713,9.12185725,5.00993713,-3.436518915
62,Li0.284Sm4.512Si3O12.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013719807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.623671498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144927536,0.217971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69474,0.00846905,9.4601,9.4601,6.9113,-10.0
63,Li0.2Na0.3La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.022222222,0.0,0.0,0.0,0.0,0.0,0.033333333,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.80264,0.0179642,3.912,3.915,7.861,-4.928117993
64,Li0.2Zr1.2Nb0.8(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627907,0.0,0.0,0.0,0.0,0.0,0.0,0.046511628,0.0,0.0,0.697674419,0.174418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069767442,2.45412,0.167253,12.736237,12.736237,12.736237,-6.623423043
65,Li0.31La0.63(Ti0.9Co0.1)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128571429,0.063265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183673469,0.0,0.0,0.0,0.0,0.0,2.91245,0.0,3.8845,3.8845,3.8845,-3.585026652
66,Li0.3Na0.2La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.033333333,0.0,0.0,0.0,0.0,0.0,0.022222222,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83013,0.0144525,3.906,3.907,7.852,-4.954677021
67,Li0.3Sr0.6Ti0.20Fe0.30Ta0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.102040816,0.0,0.040816327,0.0,0.0,0.0,0.0,0.0,4.34587,0.0530527,11.59414052,11.37521183,6.77871825,-7.0
68,Li0.3Sr0.6Ti0.35Fe0.15Ta0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030612245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.102040816,0.0,0.071428571,0.0,0.0,0.0,0.0,0.0,4.62211,0.041189,11.34499183,12.63567539,11.65697182,-4.552841969
69,Li0.3Sr0.6Ti0.40Fe0.10Ta0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.102040816,0.0,0.081632653,0.0,0.0,0.0,0.0,0.0,4.7089,0.0340589,6.9662756,16.30962706,6.83863419,-4.443697499
70,Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.102040816,0.0,0.091836735,0.0,0.0,0.0,0.0,0.0,4.582,0.0408075,12.20513684,8.79178542,15.86846343,-4.22184875
71,Li0.3Sr0.6Ti0.5Nb0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.102040816,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.0,0.0,0.102040816,0.0,0.0,0.0,0.0,0.0,3.73223,0.0445096,8.13156486,7.54617862,13.14467116,-5.26760624
72,Li0.3Sr0.6Ti0.5Ta0.5O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244898,0.102040816,0.0,0.102040816,0.0,0.0,0.0,0.0,0.0,4.22335,0.0542365,10.09770786,7.6863299,12.27947852,-3.769551079
73,Li0.4Na0.1La0.5Nb2O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,0.044444444,0.0,0.0,0.0,0.0,0.0,0.011111111,0.222222222,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8376,0.0250788,3.903,3.904,7.854,-5.003488328
74,Li0.5(La0.4Nd0.1)TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.00158,0.0297683,8.47111096,9.78653157,9.78653157,-3.0
75,Li0.5La0.5TiO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,4.07184,0.0249371,5.16348287,5.16348287,5.16348287,-5.236572006
76,Li0.5Sr0.5Cr0.25Ta0.75O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52578,0.025904,6.68457655,5.92986629,7.95640309,-4.200039473
77,Li0.5Sr0.5Fe0.25Ta0.75O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73387,0.0187622,6.0740102,5.63807645,8.28574761,-3.900008766
78,Li0.6[Li0.2Sn0.8S2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555555556,0.0,0.0,0.0,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41478,0.00321194,19.217,3.6996,6.529,-3.920818754
79,Li0.85Mg0.85In0.15PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022058824,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588235294,0.147058824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43768,0.0907256,14.4024884,11.30580136,12.42794579,-8.899629455
80,Li0.86Hf2.035(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113687151,0.0,0.0,0.0,0.0,0.048044693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670391061,0.167597765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7737,0.023174,8.8306,8.8306,22.02699,-7.036212173
81,Li0.91Hf2.022(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112960894,0.0,0.0,0.0,0.0,0.050837989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.670391061,0.167597765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7737,0.0167276,8.8306,8.8306,22.02699,-6.494850022
82,Li0.95Mg0.95In0.05PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857,0.0,0.0,0.135714286,0.0,0.135714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1062,0.12958,12.70946597,19.61238658,8.95948766,-9.950781977
83,Li0.96Ga0.96Si2.04O6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31812,0.132021,10.02533827,13.52793959,10.29890128,-10.62874643
84,Li0.9Mg0.9In0.1PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492754,0.0,0.0,0.130434783,0.0,0.130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579710145,0.144927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39854,0.085135,10.94328687,9.46197346,10.96536737,-9.300162274
85,Li0.9Sc0.9Zr0.1O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512820513,0.0,0.0,0.0,0.0,0.0,0.230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025641026,3.3855,0.0,4.1804,4.1804,9.4186,-10.0
86,Li1.15Y0.15Zr1.85(PO4)3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063535912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662983425,0.165745856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008287293,0.0,0.102209945,3.49432,0.0212573,8.87272,8.87272,22.15783,-4.148741651
87,Li1.1Al0.1Ti1.9(PO4)3,0.0,0.005524862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060773481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.662983425,0.165745856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104972376,0.0,0.0,0.0,0.0,0.0,3.27018,0.00711886,8.5118,8.5118,20.8423,-4.522878745
