P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,4.06211e-05,1.80111e-05,3.5323e-06,8.6523e-06
2.0,7.24116e-05,1.73045e-05,7.0645e-06,1.32165e-05
3.0,0.0001024359,4.94518e-05,1.05968e-05,1.32165e-05
4.0,0.0001377586,4.55101e-05,1.76614e-05,1.9347e-05
5.0,0.0001748474,8.31398e-05,2.11936e-05,1.80111e-05
6.0,0.0002242992,0.000116939,2.29598e-05,2.3957e-05
7.0,0.000247259,6.01524e-05,1.41291e-05,1.41291e-05
8.0,0.0002843478,5.62951e-05,1.76614e-05,1.57968e-05
9.0,0.0003020092,7.6903e-05,2.47259e-05,2.59568e-05
10.0,0.0003355657,8.79528e-05,2.82582e-05,2.82582e-05
20.0,0.0007364785,0.0001920464,4.59195e-05,3.77143e-05
30.0,0.0010066972,0.0001547764,6.88793e-05,7.35866e-05
40.0,0.0013087063,0.0002528474,0.0001024359,5.65163e-05
50.0,0.0016089494,0.0001955232,0.0001412908,7.06454e-05
60.0,0.0019056601,0.0003973451,0.0001836781,7.27339e-05
70.0,0.0024637589,0.0006394288,0.000208404,9.45171e-05
80.0,0.0026615661,0.000574643,0.0002172347,0.0001153274
90.0,0.0029229541,0.000571748,0.0002525574,0.0001366217
100.0,0.0032532214,0.0004101999,0.0002666864,9.56978e-05
200.0,0.006638903,0.001351591,0.0005121793,0.0001088719
300.0,0.0110824997,0.000351279,0.0008000593,0.0001402271
400.0,0.0141803012,0.0010659853,0.0010861733,0.0001155436
500.0,0.0181152509,0.0014645342,0.0013051741,0.0001508573
600.0,0.0204430174,0.0020480775,0.0014923844,0.000133574
700.0,0.0245192579,0.0032983088,0.0018032243,0.0002254574
800.0,0.0279950124,0.0042913151,0.0020964027,5.31017e-05
900.0,0.0311687578,0.004813289,0.0022977422,0.0002723287
1000.0,0.0374014496,0.0033078655,0.0026951226,0.0001948841
2000.0,0.0722084464,0.0037903258,0.005229527,0.0004492238
3000.0,0.107640655,0.0135721714,0.0078893269,0.0004043794
4000.0,0.1373011332,0.0180106274,0.0104043037,0.0005637708
5000.0,0.1658189217,0.0155946081,0.0128451029,0.000338914
6000.0,0.1926359218,0.0156190833,0.0153759749,0.0004006287
7000.0,0.2390994122,0.0153955636,0.0178856533,0.0011555763
8000.0,0.2666705522,0.0408012164,0.0203794365,0.0010255393
9000.0,0.2807837403,0.0323106152,0.0227566548,0.0010544287
10000.0,0.3140365378,0.019561166,0.0254500113,0.0005075911
20000.0,0.5928333757,0.0587127004,0.0495701226,0.0020991201
30000.0,0.8155430513,0.0675960181,0.0726676416,0.0036829746
40000.0,1.0328271589,0.0456323294,0.0939372104,0.005627924
50000.0,1.192286227,0.0676638213,0.1107985051,0.0022850544
60000.0,1.3353714536,0.0486527444,0.1300458489,0.0059535961
70000.0,1.4803287838,0.0431865381,0.1462925285,0.0023558313
80000.0,1.6046788459,0.0788361848,0.1606865322,0.004046148
90000.0,1.6846211993,0.0385100396,0.1705980841,0.0045339059
100000.0,1.772368105,0.1021305667,0.1859281395,0.0076594619
200000.0,2.434200859,0.0659726936,0.2738004408,0.0022884263
300000.0,2.7593764129,0.0608428901,0.323782073,0.0071885712
400000.0,2.9264351616,0.0357147664,0.3607278597,0.010567552
500000.0,3.0709898129,0.0361253376,0.3781755115,0.0126445498
1000000.0,3.3691841161,0.029531663,0.4315516559,0.0144515582
2000000.0,3.5259604244,0.0686954143,0.4761200831,0.0426094853
3000000.0,3.5848363146,0.0387441141,0.5040550469,0.0264523812
4000000.0,3.6307593676,0.0226752969,0.5193126907,0.0123235882
5000000.0,3.6271370238,0.0272426749,0.5434928507,0.0284612357
