P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,5.12179e-05,7.01136e-05,1.7661e-06,7.0645e-06
2.0,0.0001218633,2.34304e-05,0.0,0.0
3.0,0.0001748474,5.51758e-05,1.7661e-06,7.0645e-06
4.0,0.0002525574,0.0001566195,5.2984e-06,1.41291e-05
5.0,0.0003020092,0.0001466637,8.8307e-06,1.117e-05
6.0,0.0003832514,8.1778e-05,3.5323e-06,8.6523e-06
7.0,0.0004380016,9.96576e-05,5.2984e-06,1.41291e-05
8.0,0.0005104131,0.0001001572,7.0645e-06,1.73045e-05
9.0,0.0005722279,0.0002114648,3.5323e-06,8.6523e-06
10.0,0.0006958574,0.0001062033,5.2984e-06,1.41291e-05
20.0,0.0012362948,0.0004391964,1.41291e-05,1.80111e-05
30.0,0.0018420792,0.0001894299,1.05968e-05,7.0645e-06
40.0,0.0025379366,0.0004089814,7.0645e-06,1.32165e-05
50.0,0.0030695433,0.0004686885,8.8307e-06,1.117e-05
60.0,0.0039102238,0.0008755045,2.11936e-05,2.11936e-05
70.0,0.0040197242,0.0006380028,5.29841e-05,2.49769e-05
80.0,0.0053319628,0.0009308991,3.70888e-05,4.38343e-05
90.0,0.0057364078,0.0007814705,2.82582e-05,3.77143e-05
100.0,0.0064887815,0.0011480369,5.12179e-05,4.65939e-05
200.0,0.012820377,0.0021961352,0.0001342263,6.05658e-05
300.0,0.0182371143,0.0030738145,0.0001554199,6.5704e-05
400.0,0.02527693,0.0033624472,0.0002066378,4.81738e-05
500.0,0.0334700322,0.0041573402,0.0003020092,4.52351e-05
600.0,0.0390633831,0.0081786724,0.0002914123,0.0001248846
700.0,0.0449039929,0.0058745498,0.000339098,7.11733e-05
800.0,0.0508117158,0.0022456466,0.0003903159,6.55139e-05
900.0,0.0569613993,0.0048133408,0.0004450661,0.0002282623
1000.0,0.0639570617,0.0074679975,0.0005704617,7.29052e-05
2000.0,0.1254009127,0.0070110157,0.0010632135,9.31877e-05
3000.0,0.1801934978,0.0278247258,0.0015400701,0.0002360551
4000.0,0.2461710184,0.019017752,0.0019604103,0.0002512634
5000.0,0.2981978354,0.0257132154,0.0025803238,0.0005919479
6000.0,0.3403819798,0.0332088215,0.0032408585,0.0002191716
7000.0,0.3994256528,0.0331763291,0.0035075449,0.0004649198
8000.0,0.4393438454,0.0331682845,0.004095668,0.0003041447
9000.0,0.4989915367,0.0236107102,0.0046784927,0.000425547
10000.0,0.5451300582,0.0530458112,0.0049663728,0.0003363271
20000.0,0.9575632983,0.0194987365,0.009717277,0.0008724494
30000.0,1.2474126116,0.0533266811,0.014060204,0.0005730994
40000.0,1.5401601532,0.1108543699,0.0176737171,0.0003959611
50000.0,1.7286297615,0.106458258,0.0206708489,0.0012909665
60000.0,1.9441459676,0.0951605301,0.0235531819,0.001196778
70000.0,2.0852902114,0.0528609476,0.0259851503,0.0005634609
80000.0,2.231257771,0.1292800967,0.0286078614,0.0013023785
90000.0,2.3189728863,0.1062896397,0.0303810614,0.0017741918
100000.0,2.4149340878,0.0937348407,0.0328518848,0.0022719779
200000.0,3.0557374675,0.0580530388,0.0451547841,0.0013421514
300000.0,3.3704910563,0.031976884,0.0491621454,0.0024699996
400000.0,3.531954688,0.0149428057,0.0536128066,0.0024287387
500000.0,3.6584064513,0.0265706381,0.0562143241,0.0033116504
1000000.0,3.8960964875,0.0092695523,0.060204024,0.004804896
2000000.0,4.0596989092,0.0161336964,0.0649372669,0.0038967624
3000000.0,4.1270981689,0.015789592,0.0700855516,0.0038955295
4000000.0,4.1454553804,0.0266402194,0.0756894993,0.0029243149
5000000.0,4.1781659743,0.0297530898,0.0797675059,0.0059837752
