P,q_CO2,CO2_err,q_CH4,CH4_err
1.0,7.0645e-06,1.32165e-05,1.7661e-06,7.0645e-06
2.0,2.11936e-05,2.64331e-05,1.7661e-06,7.0645e-06
3.0,3.8855e-05,4.26806e-05,3.5323e-06,8.6523e-06
4.0,4.41534e-05,4.02741e-05,7.0645e-06,2.05965e-05
5.0,5.82825e-05,2.64331e-05,7.0645e-06,2.05965e-05
6.0,6.88793e-05,3.77143e-05,7.0645e-06,2.05965e-05
7.0,9.00729e-05,2.34304e-05,8.8307e-06,2.73609e-05
8.0,0.000104202,2.82582e-05,1.05968e-05,2.82582e-05
9.0,0.0001147988,3.53227e-05,1.23629e-05,2.64331e-05
10.0,0.0001218633,3.03857e-05,1.23629e-05,2.64331e-05
20.0,0.0002048717,4.79141e-05,1.94275e-05,3.03857e-05
30.0,0.0003108398,0.0001199933,3.17904e-05,2.64331e-05
40.0,0.000377953,0.0001508573,5.12179e-05,3.77143e-05
50.0,0.0005015825,0.0001096712,6.00486e-05,4.0889e-05
60.0,0.0006446394,0.0001879088,7.06454e-05,4.02741e-05
70.0,0.000755906,0.0001891002,0.0001024359,4.55101e-05
80.0,0.0008654064,0.0001278467,0.0001112665,4.1193e-05
90.0,0.000951947,0.0001596961,0.0001236295,2.95531e-05
100.0,0.0010066972,0.0001117002,0.000143057,5.62951e-05
200.0,0.002308339,0.0004286436,0.0002702187,8.25373e-05
300.0,0.0032938425,0.0005957926,0.0004009127,4.55101e-05
400.0,0.0046272748,0.001218403,0.0005704617,7.4597e-05
500.0,0.0063033373,0.0017016382,0.0007294139,8.83774e-05
600.0,0.0073259297,0.0009763774,0.0009219227,0.0001987511
700.0,0.0084898129,0.0008126987,0.0010349554,0.0002129347
800.0,0.0094629535,0.001382179,0.001186843,0.0002937524
900.0,0.0108670312,0.0019631165,0.0013404968,0.0002072934
1000.0,0.0121068583,0.0003105587,0.0014005454,0.0002037113
2000.0,0.0248654205,0.0031147419,0.0027834294,0.0004486679
3000.0,0.037457966,0.005114472,0.0042175314,0.0002635273
4000.0,0.047800455,0.005974437,0.0056498672,0.0005683993
5000.0,0.0590118826,0.0035659774,0.0070857353,0.0007412384
6000.0,0.0746245196,0.0055580773,0.0086417006,0.0008193498
7000.0,0.0815000848,0.0078755572,0.0098232452,0.0003469186
8000.0,0.0967930513,0.0136659947,0.0112273228,0.0003549185
9000.0,0.1020684978,0.0050135554,0.0126243359,0.0007040304
10000.0,0.1180855799,0.009421159,0.014099059,0.0007003879
20000.0,0.2318723861,0.0285574356,0.0275146236,0.0007131689
30000.0,0.3306276139,0.0222238887,0.0408454137,0.0021906231
40000.0,0.4357762518,0.0074907214,0.0537452668,0.0026167762
50000.0,0.5163102605,0.062060482,0.0663643043,0.0020995896
60000.0,0.6150690206,0.0486063602,0.0775527721,0.0021971008
70000.0,0.6912495055,0.0724333035,0.0899245507,0.0047237094
80000.0,0.741561405,0.0482455966,0.1009858568,0.0038276747
90000.0,0.8511642365,0.0579400758,0.1119129366,0.0036992405
100000.0,0.9208329801,0.0451690513,0.1224585311,0.0027731723
200000.0,1.4605127444,0.100730868,0.20651598,0.0073813761
300000.0,1.8241070419,0.0716119623,0.2635957104,0.0112063762
400000.0,2.0914169351,0.0447573277,0.3059882587,0.0127494408
500000.0,2.2890262942,0.0592832147,0.3439901944,0.0103520306
1000000.0,2.8032030632,0.067853736,0.4372809992,0.0074248854
2000000.0,3.1566897677,0.0447584093,0.5203264525,0.0161224797
3000000.0,3.296744306,0.0371492276,0.5478357777,0.0180763848
4000000.0,3.3577395586,0.043992876,0.5687644823,0.0278839021
5000000.0,3.3993567735,0.0310702176,0.5937341048,0.0077692423
