-8.429545917811899926e+03,-1.026235110021910987e+04,-1.210383330072271747e+04,-1.394993739529001869e+04,-1.579844196823512721e+04,-1.765402472069300711e+04,-1.951877762467250432e+04,-2.139350206408835948e+04,-2.326836963521550206e+04,-2.513582971577905118e+04,-2.701631037653957537e+04,-2.892818206236138940e+04,-3.085246262278810173e+04,-3.277146629469282925e+04,-3.468992941681887896e+04,-3.660986229097284377e+04,-3.852805319880835305e+04,-4.043512678863108158e+04,-4.235151193738735310e+04,-4.429889712173119187e+04,-4.626353571240999008e+04,-4.822510796347819269e+04,-5.017922987034919061e+04,-5.212754601961560547e+04,-5.408971559959217120e+04,-5.607123562131635845e+04,-5.805073527288827609e+04,-6.001608476341143250e+04,-6.199049747680432483e+04,-6.400256533727794886e+04,-6.603731221970156184e+04,-6.805809093662351370e+04,-7.006099818067059095e+04,-7.205216803932934999e+04,-7.404775661650681286e+04,-7.606395028748735785e+04,-7.809123333681767690e+04,-8.011088677234947681e+04,-8.213858079581343918e+04,-8.419949351344257593e+04,-8.627697805520513793e+04,-8.835258726791292429e+04,-9.043012210862824577e+04,-9.249286962255835533e+04,-9.452728847131013754e+04,-9.653794511470943689e+04,-9.859300966249185149e+04,-1.007362136530578136e+05,-1.028356414788926049e+05
-1.196240778873611998e+04,-1.380286571011098567e+04,-1.565086833557715727e+04,-1.750032974383868350e+04,-1.936255609585717320e+04,-2.122595782343111932e+04,-2.309621991363354027e+04,-2.498304162211902440e+04,-2.687090346291661263e+04,-2.874813855484873056e+04,-3.063483716354519129e+04,-3.254762740339525044e+04,-3.446408488654531538e+04,-3.636418871109746397e+04,-3.826931551587767899e+04,-4.020144023275934160e+04,-4.214103756478987634e+04,-4.406923800394870341e+04,-4.599940960685722530e+04,-4.794959694107621908e+04,-4.991212880212441087e+04,-5.187284235770627856e+04,-5.382647475333698094e+04,-5.578221059872582555e+04,-5.776038965516723692e+04,-5.976600230610743165e+04,-6.176089560387283564e+04,-6.371859154059365392e+04,-6.567720826850086451e+04,-6.767674469286948442e+04,-6.971071853768453002e+04,-7.175718705864623189e+04,-7.378621933199651539e+04,-7.578550767594948411e+04,-7.778445367288962007e+04,-7.981086154712364078e+04,-8.185598710162192583e+04,-8.390189851657301188e+04,-8.593981043910980225e+04,-8.797215131877362728e+04,-9.001509030746668577e+04,-9.208552305911108851e+04,-9.418481560071930289e+04,-9.629206318754702806e+04,-9.836431748131290078e+04,-1.003933735439442098e+05,-1.024467797166071832e+05,-1.045636016853302717e+05,-1.066399362087957561e+05
-1.549810015104414742e+04,-1.736135291517623045e+04,-1.920417264957265070e+04,-2.105807030293795833e+04,-2.293023154964645437e+04,-2.479903632050193846e+04,-2.667304184935914236e+04,-2.856989736505784094e+04,-3.047014512021353585e+04,-3.235936366722173989e+04,-3.425460641249403125e+04,-3.617046833611652255e+04,-3.808252409856911981e+04,-3.996962752657011151e+04,-4.186759824546975869e+04,-4.381673781846836209e+04,-4.577692787443563429e+04,-4.772267516887187958e+04,-4.966464719547910499e+04,-5.162003940783813596e+04,-5.358094530796030449e+04,-5.553858029828965664e+04,-5.748925668234515615e+04,-5.945027742849662900e+04,-6.143772203230371088e+04,-6.345950635274685919e+04,-6.546608198391531187e+04,-6.741916291637532413e+04,-6.937574076624160807e+04,-7.137971001566946507e+04,-7.341107158171526680e+04,-7.546279698453843594e+04,-7.750158757682125724e+04,-7.951215449462831020e+04,-8.152445919456810225e+04,-8.356088361889496446e+04,-8.561726985598329338e+04,-8.769022270542755723e+04,-8.974315466076599841e+04,-9.174718134347349405e+04,-9.375621907945277053e+04,-9.582792298150807619e+04,-9.795332035985574475e+04,-1.001046845787577331e+05,-1.022110916643998644e+05,-1.042470475686974823e+05,-1.062717010472252296e+05,-1.083258568484857678e+05,-1.103349938673228025e+05
-1.905087431244199252e+04,-2.091838023292819344e+04,-2.276558261822777422e+04,-2.462483871641007136e+04,-2.650461285693291575e+04,-2.838763487670756876e+04,-3.027463325798138976e+04,-3.217077083150483668e+04,-3.407284645283408463e+04,-3.597685126627609134e+04,-3.788480022738128901e+04,-3.979867232059501112e+04,-4.171009830724634230e+04,-4.361326993970572948e+04,-4.553295333244651556e+04,-4.748925002289749682e+04,-4.945379359876550734e+04,-5.139991334979608655e+04,-5.334648555748164654e+04,-5.531333399057947099e+04,-5.728517499114759266e+04,-5.924043544949963689e+04,-6.119039409860409796e+04,-6.315632933960855007e+04,-6.514719480192475021e+04,-6.715628814521059394e+04,-6.915123163939639926e+04,-7.111763207322172821e+04,-7.310438641333766282e+04,-7.514810618824325502e+04,-7.719640708941966295e+04,-7.919740346752479672e+04,-8.119447058877907693e+04,-8.323866018765792251e+04,-8.529743348539248109e+04,-8.733287818508036435e+04,-8.938087214619293809e+04,-9.146896711082011461e+04,-9.353689366003125906e+04,-9.553706400963664055e+04,-9.754327860300615430e+04,-9.963611392891407013e+04,-1.017953263695463538e+05,-1.039581195311918855e+05,-1.060617118653841317e+05,-1.080824559378586709e+05,-1.100610850163660944e+05,-1.120279719094410539e+05,-1.139431463392078876e+05
-2.263342732771626834e+04,-2.449020332357287407e+04,-2.633654218781448799e+04,-2.820200951066520065e+04,-3.008648485329053437e+04,-3.197856207146123052e+04,-3.387806149012842070e+04,-3.577773581561353058e+04,-3.768397349062513240e+04,-3.959815216870978475e+04,-4.151164868805583683e+04,-4.342154210220277309e+04,-4.534049524469886092e+04,-4.727179141777008772e+04,-4.921771316848873539e+04,-5.117437422305531800e+04,-5.313137161461665528e+04,-5.506933510866388679e+04,-5.701695664074669185e+04,-5.899337046367675066e+04,-6.097957056219170772e+04,-6.294219359928928316e+04,-6.490402159532783844e+04,-6.688092769134789705e+04,-6.887171511478774482e+04,-7.086447249873913825e+04,-7.284955873692499881e+04,-7.483095679833181202e+04,-7.684483916397709982e+04,-7.892409121989458799e+04,-8.098865156488542561e+04,-8.294177100143209100e+04,-8.489947435504256282e+04,-8.697410177042521536e+04,-8.907349150550954801e+04,-9.110413538513518870e+04,-9.313910377522675844e+04,-9.523694077606871724e+04,-9.732485600368729501e+04,-9.933807437526434660e+04,-1.013639112036910519e+05,-1.034884664500169456e+05,-1.056647002573601494e+05,-1.078084002678059042e+05,-1.098774180724649341e+05,-1.118534795650094748e+05,-1.137666175356246531e+05,-1.156379413636960089e+05,-1.174484041412323713e+05
-2.619325478973798454e+04,-2.805999678440578282e+04,-2.991764624029211700e+04,-3.178907551465835422e+04,-3.367271152002830058e+04,-3.556106480294186622e+04,-3.746249372122064233e+04,-3.938396837338060141e+04,-4.130920996464882046e+04,-4.322209636768419296e+04,-4.512609786732122302e+04,-4.703323043231572956e+04,-4.896080420576781034e+04,-5.091864408836420625e+04,-5.288157837632857263e+04,-5.482427420290559530e+04,-5.676210792962461710e+04,-5.871079946355149150e+04,-6.066941426392085850e+04,-6.263839272486418486e+04,-6.461913871705904603e+04,-6.661057886676862836e+04,-6.860688707967102528e+04,-7.060085185378044844e+04,-7.259339561976306140e+04,-7.458585213737748563e+04,-7.657906544859893620e+04,-7.857730615570023656e+04,-8.059750602910667658e+04,-8.264940631897002459e+04,-8.468720256602205336e+04,-8.667411656840331852e+04,-8.867072148924879730e+04,-9.073078924557194114e+04,-9.280906209648586810e+04,-9.485944002750515938e+04,-9.691123870157822967e+04,-9.899772213115915656e+04,-1.010849528266098350e+05,-1.031410115836188197e+05,-1.052135533494427800e+05,-1.073464498758092523e+05,-1.094943857379034162e+05,-1.115885073590613902e+05,-1.135941138321273029e+05,-1.155045568653531373e+05,-1.173389790431484580e+05,-1.191131540275029838e+05,-1.208192327588237822e+05
-2.974490400317390959e+04,-3.162994930846616626e+04,-3.350632164661052229e+04,-3.538651877419278026e+04,-3.727239880572039692e+04,-3.916064824670739472e+04,-4.106456832680758816e+04,-4.300438131525088102e+04,-4.494292744421485258e+04,-4.685208799628354609e+04,-4.875163516913272178e+04,-5.066231089587882161e+04,-5.259260765778912173e+04,-5.455879355243314058e+04,-5.652436283421290864e+04,-5.845518841917440295e+04,-6.039107795197839732e+04,-6.236632910266425461e+04,-6.433953531098958774e+04,-6.629356246397644281e+04,-6.825923335785412928e+04,-7.027567997688055038e+04,-7.230582372021838091e+04,-7.431449326075986028e+04,-7.631187118853167340e+04,-7.831586034297384322e+04,-8.033175166332264780e+04,-8.235176760256104171e+04,-8.436270824984743376e+04,-8.636280378237925470e+04,-8.836775329274292744e+04,-9.040740882563963532e+04,-9.246725317738797457e+04,-9.452030467391945422e+04,-9.657001013369469729e+04,-9.863356069506891072e+04,-1.006978156724712753e+05,-1.027672588693872094e+05,-1.048524475493666978e+05,-1.069538234831579030e+05,-1.090669030246431939e+05,-1.111833444214910269e+05,-1.132617464550939330e+05,-1.152661734788678586e+05,-1.171787783289737999e+05,-1.190002134074568748e+05,-1.207435218358524144e+05,-1.224194463954418898e+05,-1.240249644074402750e+05
-3.331517998390458524e+04,-3.521570703147724271e+04,-3.710820433466695249e+04,-3.899300959230773151e+04,-4.088598685154691339e+04,-4.279721167372912169e+04,-4.472106953222677112e+04,-4.664847733310237527e+04,-4.857079171659145504e+04,-5.048561212176270783e+04,-5.240443839413393289e+04,-5.433451716638170183e+04,-5.627113791712187231e+04,-5.820882367802225053e+04,-6.014860640145279467e+04,-6.209909497502539307e+04,-6.407525499712955207e+04,-6.607749551472626626e+04,-6.806268159347027540e+04,-7.000449957998003811e+04,-7.195911539794132113e+04,-7.397857886271923780e+04,-7.601857117504253983e+04,-7.802949236924014986e+04,-8.002833572589419782e+04,-8.204726703820563853e+04,-8.409047207706607878e+04,-8.614060313072428107e+04,-8.815475813795439899e+04,-9.011236603652872145e+04,-9.209221024543419480e+04,-9.416514277568645775e+04,-9.627163089077360928e+04,-9.834139953781291842e+04,-1.003895370048247278e+05,-1.024471149215847254e+05,-1.045085009621977806e+05,-1.065603649262823164e+05,-1.086439553720690310e+05,-1.107844356037098914e+05,-1.129143040414489806e+05,-1.149680206012651324e+05,-1.169320889784321189e+05,-1.188088118641264737e+05,-1.206002038403041661e+05,-1.223120173130445182e+05,-1.239533434001430869e+05,-1.255303317141644657e+05,-1.270404935739599168e+05
-3.690286140244417766e+04,-3.881120576975867152e+04,-4.071249240967987862e+04,-4.259898674409836531e+04,-4.450250892087077227e+04,-4.644191524061933160e+04,-4.838484053996257717e+04,-5.029199316714145243e+04,-5.219301657886151224e+04,-5.411660508315730840e+04,-5.606283460061137157e+04,-5.801882859774027020e+04,-5.996574712766396260e+04,-6.187899207625351846e+04,-6.379797501402772468e+04,-6.577084984987974167e+04,-6.778200911533810722e+04,-6.980488073339872062e+04,-7.180534067852780572e+04,-7.374758169050887227e+04,-7.570033006171787565e+04,-7.772018721739016473e+04,-7.975418201111441886e+04,-8.175223373800329864e+04,-8.374744555046895402e+04,-8.578022138642705977e+04,-8.784021592641231837e+04,-8.990718266842141747e+04,-9.193730579650298750e+04,-9.389053869771026075e+04,-9.587038813369224954e+04,-9.796304352270811796e+04,-1.000818340598134528e+05,-1.021515488770343363e+05,-1.041994980959300447e+05,-1.062495354307331145e+05,-1.083215661231281701e+05,-1.103868200544100255e+05,-1.124773819491546164e+05,-1.146177589614465833e+05,-1.166932096814000979e+05,-1.186227323979977518e+05,-1.204345014720316976e+05,-1.221600650029741228e+05,-1.238146647058688104e+05,-1.254069316090829670e+05,-1.269426660892255604e+05,-1.284237756393589079e+05,-1.298461582827977836e+05
-4.050824932323396206e+04,-4.241118661950714886e+04,-4.430781513013783842e+04,-4.620142112807184458e+04,-4.811703399609960616e+04,-5.006810081680491567e+04,-5.201300014443136752e+04,-5.391488071705494076e+04,-5.581227274825423956e+04,-5.774860065886937082e+04,-5.971302707389276475e+04,-6.168323089746106416e+04,-6.363832061403430998e+04,-6.556833388414420187e+04,-6.750298466638848186e+04,-6.947402199149318039e+04,-7.147808028380945325e+04,-7.349625793873425573e+04,-7.550046038065198809e+04,-7.747830731663573533e+04,-7.946424698076676577e+04,-8.147991766286920756e+04,-8.349350278753694147e+04,-8.547839330176915973e+04,-8.747431297641247511e+04,-8.952042473604530096e+04,-9.158490769640542567e+04,-9.362339267835766077e+04,-9.564538158823177218e+04,-9.767894474532268941e+04,-9.973427231168001890e+04,-1.018042137209549546e+05,-1.038667680689804256e+05,-1.059152350112330168e+05,-1.079644294189605862e+05,-1.100181054042316973e+05,-1.121081262207590044e+05,-1.142541599859837443e+05,-1.163713081109933555e+05,-1.183935734131932259e+05,-1.202874950076118112e+05,-1.220396098069380969e+05,-1.236826907194629312e+05,-1.252540903870649636e+05,-1.267738731500357389e+05,-1.282507564292550087e+05,-1.296873544402346015e+05,-1.310817869179509580e+05,-1.324276301200278103e+05
