#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	2864.57
firstFrontCount	1
frontCount	89
avgEvalTime	519.635
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
160988	444.992	0.595123	0.350084	0.858599	75708.2	57.4969	66.6459	5.65718	237.069	0	0	
165966	49.6595	0.0623129	0.98106	0.713438	50429.9	44.7316	31.5631	5.39619	92.7492	0	0	
201315	204.324	0.95746	0.163292	0.0101937	10948.6	88.4895	77.2564	8.77075	185.112	0	0	
169369	451.198	0.357883	0.307977	0.957376	27213.8	87.9359	74.129	2.15082	342.615	0	0	
137466	132.566	0.978766	0.170548	0.816805	48222	53.5784	16.0952	7.14519	100000	0	0	
218035	46.5247	0.0656169	0.845648	0.288125	26359.8	24.713	22.876	7.5848	103.089	0	0	
212792	51.5132	0.23578	0.329217	0.220676	81196.7	71.4069	89.0751	3.79087	132.285	0	0	
129783	208.709	0.398827	0.329608	0.502154	27439.9	91.0413	60.5177	6.99992	126.853	0	0	
150217	18.4613	0.0549329	0.527822	0.699062	75548.1	99.388	65.8917	8.45066	98.2018	0	0	
294640	81.295	0.26972	0.316935	0.161922	93080	78.5637	18.542	3.17885	122.139	0	0	
221551	212.621	0.207488	0.92639	0.168081	55193.1	92.9697	91.038	6.75115	114.989	0	0	
128805	443.616	0.520957	0.200808	0.519224	32791.5	64.31	90.8282	6.57424	161.923	0	0	
125040	486.59	0.965629	0.524704	0.514522	24804.1	28.0226	77.8418	4.27137	155.385	0	0	
239207	128.794	0.485957	0.704983	0.110125	19141.1	30.1716	46.2022	8.4377	127.301	0	0	
156205	497.083	0.360648	0.739367	0.726353	49638.3	59.6398	13.1715	2.13745	496.561	0	0	
276928	357.461	0.448787	0.231991	0.716073	76221.3	49.8175	64.9109	8.83847	155.054	0	0	
275532	338.795	0.0710449	0.264034	0.0697214	11746.9	26.8976	69.2047	3.72393	233.696	0	0	
100869	478.411	0.31363	0.282543	0.707748	32612.7	13.3185	18.7421	8.27211	202.221	0	0	
246850	222.97	0.791209	0.543435	0.541133	31262.8	76.0785	73.31	4.4811	143.541	0	0	
168723	201.764	0.112625	0.42588	0.109035	81275.7	40.7099	10.6255	8.19993	158.35	0	0	
266244	122.993	0.48998	0.321766	0.209339	28968.3	55.5212	20.3858	4.18972	141.061	0	0	
232325	469.424	0.240911	0.404373	0.475269	53848.3	81.5158	92.6941	6.3373	146.962	0	0	
263711	128.869	0.725294	0.493447	0.506562	50004.8	14.6636	87.6382	3.34623	148.228	0	0	
177734	320.915	0.389577	0.334065	0.909796	68034.3	34.6065	86.1683	7.64419	135.456	0	0	
271386	261.214	0.438418	0.371029	0.323101	74542.5	26.6528	19.0272	4.53457	122.186	0	0	
254199	74.1897	0.346249	0.842609	0.904116	78002	10.0576	44.7775	7.39527	126.548	0	0	
