#NSGA2
popsize 90
maxGen 60
numVar 9
numObj 1
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	90
totalTime	1255.84
firstFrontCount	1
frontCount	90
avgEvalTime	186.302
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Cons1	Cons2	
254611	386.851	0.712271	0.216928	0.171869	45012.6	51.4954	44.1197	5.49714	137.481	0	0	
294740	377.333	0.560192	0.3746	0.521705	10652	82.4319	64.5642	7.38845	226.116	0	0	
261665	266.177	0.269931	0.642707	0.153532	60333.6	23.2311	70.6761	6.63387	177.904	0	0	
197824	257.351	0.676106	0.980289	0.360301	80569.7	48.0682	22.8745	4.02462	163.145	0	0	
264016	244.547	0.341213	0.834497	0.818867	88817.6	93.4792	84.0459	5.87831	388.276	0	0	
252458	232.454	0.755188	0.329747	0.787355	50298.3	73.9863	42.7151	2.67059	259.148	0	0	
114406	33.1696	0.749294	0.507813	0.682141	71369	80.8598	58.1214	5.31697	87.9045	0	0	
255677	59.0757	0.526602	0.47511	0.166411	53613.2	80.3336	88.4726	6.43622	107.626	0	0	
282985	491.069	0.293497	0.55193	0.290938	20025.1	53.429	59.9622	8.18461	189.449	0	0	
261112	461.59	0.415879	0.235315	0.774943	92319.7	82.1676	61.4264	4.13298	395.08	0	0	
178534	352.239	0.49376	0.808846	0.628966	66597.1	95.854	11.0207	5.77806	266.952	0	0	
267674	329.542	0.461641	0.944572	0.447762	47872.4	42.8619	86.3648	6.07847	240.65	0	0	
263062	178.452	0.565168	0.633154	0.104658	12470.8	48.8147	26.973	4.20107	128.62	0	0	
225669	237.428	0.81474	0.457835	0.223201	81392.1	59.2641	64.3661	2.94783	133.37	0	0	
198832	43.5407	0.71789	0.75842	0.771663	74985.5	91.2598	62.3519	6.17651	90.0367	0	0	
217767	235.094	0.66228	0.273646	0.348512	95809.9	11.6771	61.4481	6.79588	120.932	0	0	
230585	200.965	0.165431	0.710258	0.695979	55952.6	64.3993	17.9198	8.12366	140.738	0	0	
255662	141.652	0.67792	0.643405	0.0535879	85900.5	28.5556	97.8117	5.69568	111.414	0	0	
279210	227.71	0.162804	0.509602	0.0948655	64077.2	41.0841	58.1897	5.16562	177.754	0	0	
118453	425.445	0.548962	0.445004	0.793906	50048.8	11.2294	16.071	2.20206	442.743	0	0	
228242	451.313	0.593317	0.713139	0.167494	75090.9	78.0216	39.8355	7.7513	167.3	0	0	
232912	397.884	0.646596	0.613975	0.793763	49473.1	68.741	71.0397	7.60294	276.606	0	0	
279956	230.97	0.758603	0.524116	0.371575	55110.7	38.6682	86.3881	3.25474	173.599	0	0	
187044	119.292	0.466368	0.818407	0.664417	83501	46.5733	88.8377	6.84676	166.342	0	0	
245116	239.297	0.82354	0.853136	0.704009	96467.6	42.2604	24.0821	7.10368	258.267	0	0	
101421	34.8642	0.29632	0.737936	0.585963	70180.4	97.2825	75.7157	7.55151	102.885	0	0	
175843	334.282	0.784263	0.509027	0.229138	54849.1	65.2773	25.1311	5.7981	135.298	0	0	
104381	108.996	0.19327	0.253681	0.190384	67863.1	23.265	60.4748	8.55565	112.749	0	0	
173783	162.084	0.587864	0.176854	0.743345	26589.2	84.6202	88.1769	8.99723	139.941	0	0	
228721	83.0574	0.667616	0.987746	0.932045	63756.2	21.3114	20.5614	5.32449	191.806	0	0	
169441	256.932	0.542312	0.728416	0.800919	71808.4	50.9925	69.3862	4.24356	316.068	0	0	
251567	491.538	0.029532	0.382201	0.740253	27591.9	50.3296	71.5368	6.59127	250.867	0	0	
267274	493.619	0.740922	0.812362	0.86025	34698	95.0949	41.2842	7.03385	330.12	0	0	
236170	100.973	0.860615	0.379672	0.159777	26172.6	68.5044	15.5656	7.59899	100000	0	0	
170878	95.0602	0.464954	0.771234	0.188908	23287	94.1851	44.3684	3.29379	101.189	0	0	
293547	234.801	0.965443	0.697868	0.560601	76932.4	99.503	77.3977	3.75731	189.862	0	0	
170685	349.529	0.781261	0.41424	0.228084	75934.9	56.662	96.6922	8.34463	123.631	0	0	
295804	71.525	0.984148	0.259654	0.889356	38123.8	28.8598	35.7548	2.23398	147.988	0	0	
227642	328.532	0.133215	0.734114	0.0397757	13410.1	80.5755	23.2723	7.88656	132.24	0	0	
118544	349.351	0.505432	0.330676	0.669091	74877.2	29.107	19.3238	5.84851	186.645	0	0	
168957	381.364	0.821099	0.970548	0.0601399	63466.5	70.358	39.0506	5.94698	100.651	0	0	
152762	376.102	0.416387	0.647747	0.867904	12013.1	32.9342	91.8429	4.13854	299.797	0	0	
104375	462.845	0.479453	0.852833	0.0801059	39690.2	71.211	36.3286	2.68957	163.551	0	0	
268986	396.656	0.472118	0.230902	0.637625	73614.4	68.2195	98.5129	2.56939	352.626	0	0	
182982	319.389	0.268533	0.74871	0.64448	44025.4	94.3371	50.8409	7.63513	196.249	0	0	
194733	400.333	0.39247	0.473785	0.66023	85680.7	96.9248	42.053	7.68506	251.031	0	0	
182798	20.2372	0.432389	0.895337	0.895458	81984.1	45.2844	44.6685	8.30708	84.3682	0	0	
