# LAMMPS data file written by OVITO Pro 3.13.0

124 atoms
4 atom types

0.0 17.87 xlo xhi
0.0 14.9406265415 ylo yhi
0.0 13.8571429693 zlo zhi
-4.2083443949 -4.007104608 -5.9215158861 xy xz yz

Atom Type Labels

1 Li
2 P
3 S
4 Sb

Masses

1 6.941  # Li
2 30.973761  # P
3 32.065  # S
4 121.76  # Sb

Atoms  # atomic

1 1 1.7170496517 8.1187268061 6.7304143402
2 1 -6.0217821605 10.811889429 9.4450286479
3 1 5.9595505911 2.5602596217 10.4482857988
4 1 5.0498998195 -1.2091597037 10.5494429425
5 1 -3.3048230849 13.0687895882 2.6287000213
6 1 7.5411694969 9.1285557196 2.8324000229
7 1 -1.2564780641 4.4352530096 5.2144428993
8 1 5.0343772272 4.799811843 13.4622143947
9 1 -2.4400482236 10.8267617544 8.5955857839
10 1 5.5124669265 -0.7538346193 7.2043286297
11 1 -4.2054980999 7.4597720658 13.5204143951
12 1 3.1314084174 4.4373099409 9.9716000807
13 1 13.1029469477 0.868345657 5.82415719
14 1 9.6124707433 3.1499970568 5.6523286172
15 1 14.586782863 -0.5066020263 2.3917428765
16 2 10.9641721639 3.9579841855 12.460342958
17 2 4.8211622562 11.7401467441 7.3636857739
18 2 0.9162179428 10.6441925761 8.2186714951
19 2 -4.220090189 10.3123331308 5.6772714745
20 2 4.8988294636 0.6330888275 13.2903858218
21 2 1.8450063585 9.5467377771 2.7173857363
22 2 2.8212892053 11.1764481838 0.5958571477
23 2 0.5541762214 1.1831990605 2.0176000163
24 2 -2.5576113846 7.3586209158 6.4463429093
25 2 9.0088147073 11.4941657387 2.5829714495
26 2 6.8816995261 2.0850159041 1.1099571518
27 2 6.8187979165 8.9035098104 10.0090143667
28 2 8.4316557889 -0.8738408672 5.7964429041
29 2 -0.3029468652 3.2070269315 2.3127571616
30 3 9.1526685898 2.9751547023 12.3758143859
31 3 -1.187683859 -2.7135853625 13.0700572486
32 3 10.2358180799 -4.7184147304 13.4996286807
33 3 -0.9045426676 11.7813566006 3.1206285967
34 3 1.4400987838 8.0416778209 4.1696143195
35 3 14.5000254634 4.7845681812 1.05452858
36 3 7.5939285345 7.7060828869 8.3988143537
37 3 -2.3029372318 5.7946362077 12.9522715334
38 3 6.3690711403 0.4140738643 11.9323858109
39 3 11.7596085862 -0.3936017846 10.5743857999
40 3 -2.9179105778 2.422633404 7.1516714865
41 3 4.770255722 0.669516667 9.198371503
