Pressure,1_0_000_q,1_0_000_e,1_1_250_q,1_1_250_e,2_0_000_q,2_0_000_e,2_1_031_q,2_1_031_e,2_2_062_q,2_2_062_e,2_3_094_q,2_3_094_e,2_4_125_q,2_4_125_e,2_5_156_q,2_5_156_e,2_6_188_q,2_6_188_e,2_7_219_q,2_7_219_e,3_10_093_q,3_10_093_e,3_12_111_q,3_12_111_e,3_14_130_q,3_14_130_e,3_16_148_q,3_16_148_e,3_18_167_q,3_18_167_e,3_1_009_q,3_1_009_e,3_22_204_q,3_22_204_e,3_2_019_q,3_2_019_e,3_3_028_q,3_3_028_e,3_4_037_q,3_4_037_e,3_6_056_q,3_6_056_e
100.0,9.7237,0.03348734,7.042378,0.09716503,9.757846,0.03387494,10.116,0.02267422,9.954815,0.02132089,10.37068,0.03287237,10.16514,0.03253965,9.794642,0.1183492,9.485947,0.08336728,9.206674,0.1126288,9.679531568,0.139437181,9.782503679,0.116570471,9.389280856,0.094828869,9.720426528,0.136897914,9.072890323,0.093768291,9.765785911,0.094423607,8.754807966,0.094121464,9.776383755,0.102286657,9.820971841,0.142707794,9.762829873,0.131656492,9.806825192,0.11599636
200.0,10.08557,0.06332541,8.421541,0.1364304,10.10496,0.0472483,10.2706,0.05399536,10.53791,0.09720295,10.98281,0.02458035,10.69886,0.04668233,10.69993,0.07918066,10.1455,0.02200447,10.13203,0.02740544,10.2264335,0.107563362,10.49344093,0.082412754,10.12324197,0.037061003,10.38854677,0.163377264,9.921118528,0.163962173,9.958917964,0.205902663,9.732265121,0.146454497,9.99037606,0.120557965,10.07250452,0.079771427,9.956683254,0.161381247,10.20844067,0.110979405
300.0,10.07906,0.04849363,10.80283,0.1676882,9.891429,0.09823444,10.35738,0.05685484,10.64447,0.05873547,11.21274,0.06096027,11.43759,0.08583216,11.20947,0.1048247,10.61256,0.03685737,10.70339,0.0618391,10.40743566,0.165190499,10.74016262,0.11579512,10.52567657,0.129480258,10.87422366,0.162471996,10.37373087,0.211550371,10.0711157,0.236030394,10.38065587,0.183311211,10.14133356,0.207545012,10.25523447,0.198318182,10.191509,0.149618035,10.41707107,0.221277229
400.0,10.27298,0.1151493,12.86397,0.07669477,10.19505,0.09158962,10.48884,0.03657469,10.89809,0.05194276,11.45209,0.07820777,11.84574,0.06980545,11.5653,0.07647469,11.29638,0.07208319,11.23258,0.03473485,10.68431323,0.237456111,10.99671026,0.199025493,10.87885288,0.17513587,11.12085124,0.153406046,10.68745701,0.160032175,10.24721784,0.241526684,10.84924447,0.111542498,10.22173953,0.226298915,10.30431943,0.206730823,10.32567107,0.267532691,10.55805611,0.273416923
500.0,10.08413,0.01632069,13.77156,0.1268554,10.12946,0.06292597,10.91786,0.06866531,11.06574,0.05095055,11.77862,0.0300687,11.94421,0.01775159,11.73557,0.09030321,11.41417,0.0424647,11.42711,0.06555349,10.80328583,0.176293743,11.2223371,0.108059678,11.0339962,0.093635807,11.34820555,0.201833301,10.98355778,0.181418409,10.3361199,0.278050102,11.15813002,0.073536568,10.29045782,0.190524078,10.53597158,0.3481892,10.45287303,0.229848338,10.6226618,0.292248412
600.0,10.13714,0.05134837,14.55409,0.1679194,10.26372,0.04176865,10.9295,0.09386309,11.54512,0.03023556,12.2114,0.08935897,12.28313,0.1565992,12.15593,0.1484135,11.66191,0.06660664,11.7606,0.05254725,10.9182153,0.248051769,11.34298212,0.217802993,11.26163703,0.232894472,11.6412328,0.180668533,11.2323999,0.210729151,10.25697147,0.272436512,11.45176718,0.15671309,10.34828605,0.230824632,10.49998494,0.202079371,10.42884119,0.096271998,10.72704564,0.23016642
700.0,10.28948,0.04654849,15.33803,0.1506659,10.2467,0.07003606,10.93547,0.07162748,11.91225,0.144643,12.89548,0.1873515,12.92316,0.09560418,12.25035,0.07462799,11.8901,0.06477546,12.14444,0.08990526,11.11326965,0.319190596,11.57683291,0.228939268,11.43643676,0.209832256,11.72843214,0.302451088,11.34065513,0.225932002,10.21749673,0.26127247,11.64607513,0.235681984,10.53855221,0.063023442,10.67335505,0.018290076,10.67817548,0.283063436,10.94535841,0.181607708
800.0,10.44881,0.03602387,16.68216,0.4788831,10.48596,0.0974292,11.28459,0.114045,12.00189,0.04127629,12.75885,0.1181181,13.00269,0.1090422,12.55176,0.07716819,12.1144,0.08891038,12.25123,0.08539493,11.09683691,0.216553231,11.65767367,0.242657142,11.54369418,0.183760586,12.1080416,0.311352381,11.55710109,0.251690751,10.48290952,0.36091006,11.82699504,0.107319699,10.45865952,0.292202875,10.62389714,0.249047075,10.7499527,0.244665614,10.98881183,0.266345677
900.0,10.29203,0.0741755,18.06301,0.2081414,10.30953,0.03621945,11.51374,0.04925778,11.86283,0.07963013,12.93255,0.05408798,13.55211,0.07263119,12.58447,0.04660899,12.17253,,12.39016,,11.14345423,0.218669792,11.64732597,0.242104748,11.69445334,0.056468269,12.1060426,0.227960546,11.67938575,0.261290826,10.42279044,0.257794985,12.08478594,0.219337647,10.50854807,0.293569708,10.76332855,0.373999354,10.80373345,0.34853262,11.16426622,0.30529184
1000.0,10.41839,0.0310566,19.20758,0.2416691,10.32937,0.05261364,11.05363,0.08151098,12.11265,0.08540604,13.39219,0.1123495,13.55201,0.133591,12.8712,0.1093061,12.35153,0.1408579,12.25947,,11.29701917,0.214224418,12.00792199,0.28935567,11.77063194,0.231849302,12.49214747,0.264712869,11.8231386,0.208965708,10.46055899,0.260063825,12.28856365,0.213230443,10.67998108,0.26084809,10.78658121,0.309891209,10.92209999,0.371803278,11.19940252,0.306561
