Pressure,1_0_000_q,1_0_000_e,1_1_250_q,1_1_250_e,2_0_000_q,2_0_000_e,2_1_031_q,2_1_031_e,2_2_062_q,2_2_062_e,2_3_094_q,2_3_094_e,2_4_125_q,2_4_125_e,2_5_156_q,2_5_156_e,2_6_188_q,2_6_188_e,2_7_219_q,2_7_219_e,3_10_093_q,3_10_093_e,3_12_111_q,3_12_111_e,3_14_130_q,3_14_130_e,3_16_148_q,3_16_148_e,3_18_167_q,3_18_167_e,3_1_009_q,3_1_009_e,3_22_204_q,3_22_204_e,3_2_019_q,3_2_019_e,3_3_028_q,3_3_028_e,3_4_037_q,3_4_037_e,3_6_056_q,3_6_056_e
0.5,5.829811,0.03727884,1.405277,0.05464718,5.881955,0.03027953,5.328039,0.04596593,4.851608,0.04595809,4.313329,0.04234566,3.875008,0.0856123,3.728059,0.02889722,3.62374,0.04455161,3.11317,0.02835726,4.176307375,0.060569818,3.819994124,0.097675523,3.686105442,0.045599036,3.374121301,0.088425072,3.451097363,0.129953566,5.122875088,0.028650809,2.896635848,0.095117131,4.997762346,0.03986369,4.88279546,0.070337398,4.768773896,0.063521985,4.533237541,0.053043593
0.6,6.039795,0.08865229,1.57994,0.01830183,6.109528,0.06415616,5.542341,0.03261823,5.104503,0.06369178,4.460562,0.04795426,4.109503,0.06725194,3.871193,0.041153,3.74958,0.05573188,3.321287,0.1151784,4.30009718,0.056048887,3.942568,0.100758536,3.806356513,0.121476225,3.529889345,0.030545402,3.534047175,0.121868301,5.27731282,0.065938085,2.985989135,0.041521291,5.132839645,0.083613992,5.054988043,0.027451504,4.943302229,0.075090535,4.650007095,0.071399707
0.7,6.350445,0.1136835,1.739312,0.03066567,6.408727,0.0675222,5.865717,0.04213242,5.306666,0.07845714,4.634215,0.02992272,4.193188,0.08049181,4.024144,0.05945139,3.836508,0.03353628,3.449528,0.02932526,4.453215037,0.050421237,4.035440089,0.054466881,3.930725068,0.077328318,3.597320428,0.131796978,3.622191419,0.131175109,5.402609212,0.053873523,3.128402873,0.07654355,5.275365786,0.025596305,5.15960057,0.088825023,5.034293628,0.080076668,4.795785289,0.050732368
0.8,6.573023,0.1176335,1.931761,0.06434492,6.613812,0.09831994,5.987897,0.04720396,5.498821,0.01733853,4.878493,0.08810073,4.438278,0.05452119,4.217091,0.08373284,4.094552,0.04788518,3.493186,0.1044327,4.540806668,0.07632912,4.111109579,0.104998283,4.031724044,0.070698654,3.707756003,0.057409856,3.734280058,0.081528108,5.527193943,0.027776106,3.213011661,0.150459367,5.394384501,0.04473566,5.265773934,0.055776018,5.181950207,0.057523844,4.925447273,0.045362387
0.9,6.850141,0.06011815,2.066928,0.0352538,6.839052,0.0681548,6.207042,0.03262899,5.707221,0.08057642,4.994812,0.06362339,4.538932,0.02105416,4.265807,0.05869899,4.17329,0.07329612,3.59549,0.06070543,4.648427404,0.049915219,4.252216701,0.101146695,4.125164978,0.057555457,3.810407836,0.126108179,3.842367909,0.130850457,5.648494539,0.077436629,3.335694091,0.075174553,5.547294823,0.078682088,5.380958623,0.049249435,5.281983337,0.095485204,4.995900407,0.103875035
1.0,7.053959,0.08906966,2.195633,0.0554805,7.073411,0.08185329,6.554518,0.04428656,5.832741,0.07231394,5.121006,0.03965281,4.731867,0.05686866,4.447981,0.1099295,4.285583,0.03891235,3.735452,0.04094598,4.763238677,0.121854771,4.371596892,0.028817054,4.232386004,0.11998771,3.894171849,0.138936043,3.90443224,0.122540272,5.776296898,0.049574372,3.368443075,0.077081529,5.639075443,0.077788193,5.524697581,0.051709161,5.392750504,0.096986922,5.094548402,0.05697193
2.0,8.317251,0.04955461,3.28302,0.04406485,8.304012,0.07160688,7.753656,0.0659326,7.033021,0.09261036,6.30553,0.05637794,5.77442,0.1377338,5.406168,0.0563293,5.191043,0.07795187,4.524753,0.05766301,5.570521796,0.162767631,5.099325677,0.102145004,4.943477126,0.145336793,4.584434249,0.139658625,4.644259099,0.088726944,6.786883849,0.073729875,3.928040342,0.117320403,6.615975297,0.186170209,6.49827849,0.098662487,6.342852102,0.103296696,6.053149214,0.117272682
3.0,8.831206,0.09350335,3.913471,0.07143911,8.833361,0.05198454,8.207338,0.133324,7.698563,0.05005339,6.91748,0.06717553,6.221959,0.03677471,5.922364,0.04968241,5.662466,0.1192418,5.088005,0.0799871,6.134771317,0.152894632,5.669648189,0.133105486,5.503184758,0.090162165,5.066531913,0.152383409,5.083065187,0.148113505,7.538150345,0.167902324,4.393488396,0.166380425,7.336426377,0.076539523,7.230035359,0.155834861,7.012210784,0.142297708,6.660880343,0.102037991
4.0,9.069236,0.04279619,4.331373,0.04483612,9.033009,0.02958718,8.446712,0.05547294,8.007042,0.05732809,7.200201,0.04389287,6.667695,0.0989417,6.09267,0.0604268,5.98894,0.08510181,5.404709,0.06172284,6.577893115,0.167508338,6.048516093,0.118205064,5.886160808,0.177155406,5.42751313,0.129892887,5.517234087,0.105835861,8.006456952,0.179251296,4.749365306,0.184447848,7.878715663,0.185506676,7.658723782,0.04559349,7.494794322,0.155504151,7.095966962,0.159447697
5.0,9.265915,0.04336041,4.723086,0.0733008,9.164558,0.02692261,8.588743,0.05595641,8.090003,0.03369572,7.409243,0.0575815,6.891062,0.05713058,6.360771,0.05195299,6.239536,0.06039263,5.60095,0.1261119,6.882585066,0.187997688,6.333203846,0.083848912,6.214099866,0.1821126,5.728695618,0.159299305,5.760804701,0.119774278,8.324793634,0.185710686,4.935956928,0.132455214,8.134884934,0.102905311,7.972381644,0.136388536,7.830893908,0.128923081,7.410327937,0.121756967
6.0,9.197982,0.0383438,5.05142,0.128226,9.223869,0.02746356,8.736764,0.08307581,8.216074,0.05492979,7.668139,0.05727527,6.980721,0.05385406,6.517481,0.04204842,6.43672,0.08762622,5.790488,0.0675534,7.125208895,0.177661623,6.523593354,0.0788151,6.459119495,0.172397718,5.908436089,0.081152309,5.989514553,0.112521392,8.558551819,0.179094147,5.207694208,0.124908713,8.376775744,0.131977781,8.194223935,0.129100514,8.041168996,0.2463908,7.666512578,0.172463372
7.0,9.306525,0.04789568,5.125575,0.0658247,9.293982,0.04618398,8.856118,0.02097191,8.2523,0.04585407,7.761897,0.0591287,7.197687,0.06802565,6.604484,0.09785166,6.535494,0.06701633,5.979606,0.08443013,7.321116645,0.100435214,6.76046779,0.102812264,6.62816334,0.182241964,6.098748228,0.137646691,6.146970783,0.158599661,8.702875321,0.128627112,5.389274933,0.087714931,8.515937067,0.175990826,8.342587027,0.172062322,8.227642399,0.195058595,7.83853728,0.083914045
