struc,dr,VF,SL_GCMC_ave,SL_GCMC_std,SL_VF
1_0_000,0.0,0.391,11.21598,0.08685931613822472,14.103928571428575
1_1_250,25.0,0.6416,22.729752,0.13846168096625128,23.143428571428576
2_0_000,0.0,0.40065,11.343116,0.14153475087058998,14.45201785714286
2_1_031,3.1,0.432425,12.052959999999999,0.13845247300066582,15.598187500000002
2_2_062,6.2,0.462625,13.342508,0.11312934498175081,16.687544642857144
2_3_094,9.4,0.48975,14.548146,0.1965293230640147,17.665982142857146
2_4_125,12.5,0.52015,15.755408,0.18477805306907996,18.762553571428572
2_5_156,15.600000000000001,0.541525,17.142688,0.14659447907748782,19.533580357142863
2_6_188,18.8,0.56295,18.667627999999997,0.1794506456271471,20.306410714285715
2_7_219,21.900000000000002,0.5922,20.394106,0.14638014286097745,21.3615
3_10_093,9.3,0.48117,14.238092702,0.07003332476009139,17.35648928571429
3_12_111,11.100000000000001,0.500326,15.112102303999999,0.038761286021005266,18.047473571428572
3_14_130,13.0,0.514926,15.803523107999998,0.03491027522989221,18.574116428571433
3_16_148,14.8,0.530741,16.60581525,0.08203859988180495,19.144586071428574
3_18_167,16.7,0.54463,17.379971584,0.1007228281776262,19.64558214285714
3_1_009,0.9,0.404096,11.338222872,0.09195187376369958,14.57632
3_22_204,20.400000000000002,0.577489,19.196372184,0.16033236969725373,20.830853214285717
3_2_019,1.9000000000000001,0.412593,11.601734052000001,0.08938421161946879,14.882818928571432
3_3_028,2.8000000000000003,0.42183,11.890928892,0.10579506767241365,15.216010714285716
3_4_037,3.7,0.42943,12.297551672,0.07165490334634309,15.490153571428573
3_6_056,5.6000000000000005,0.448207,12.94285442,0.12209166013776146,16.16746678571429
