P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
745532.0,299,0.0785019,0.367739,0.620072,147253,36,37,0.00849611,0.00585617,0.9078256543283327,0.9234743833739316
676639.0,74,0.450186,0.577706,0.725295,102217,12,27,0.00256213,0.0477107,0.9493825129031478,0.7815722087279184
598863.0,38,0.408135,0.485369,0.12533,174262,44,38,0.00176301,0.251456,0.9580117873683578,0.4985461137851258
660446.0,448,0.0761095,0.242146,0.122488,84821,38,18,0.00733167,0.0159138,0.9143748284673251,0.8738500891795797
427137.0,329,0.624199,0.211035,0.88206,123350,41,40,0.00418983,0.0201156,0.9352711038252621,0.8581705249251764
226019.0,229,0.210971,0.753796,0.546014,80433,23,25,0.00658407,0.019554,0.9188577175573671,0.8601643822196934
310926.0,196,0.768901,0.627048,0.326935,86328,49,38,0.00323956,0.299764,0.9430828672542265,0.45249292242017547
424654.0,141,0.767748,0.727668,0.230682,138897,11,48,0.00386436,0.373431,0.9378360232932288,0.3889099902633001
472440.0,44,0.361865,0.371119,0.611235,93194,21,18,0.000248158,0.180499,0.9842469685457053,0.5751482611545529
954259.0,35,0.862766,0.334,0.795848,18651,10,32,1.12615e-12,0.182415,0.9999989387978515,0.5728993092958055
664692.0,151,0.81222,0.468229,0.705483,186815,16,26,0.0071207,0.0825492,0.9156157597652264,0.7126862342316331
905031.0,293,0.761179,0.551009,0.886952,128360,11,37,0.00915498,0.0115698,0.9043183403153979,0.8924369952074599
668639.0,356,0.871532,0.109355,0.775704,198713,40,16,0.00344048,0.0711773,0.9413443949822355,0.7332092580316926
911786.0,115,0.0147077,0.574499,0.397189,97262,19,30,0.00817196,0.00905304,0.9096011062014584,0.9048525355040924
457410.0,222,0.365264,0.588184,0.623194,53867,17,44,0.00391494,0.0351099,0.9374305186212959,0.812623640765437
844233.0,160,0.603109,0.292546,0.583315,33453,28,45,0.000213283,0.116532,0.9853957882787191,0.6586321632022138
782888.0,254,0.0783115,0.659036,0.404562,98843,43,15,0.00809814,0.00640144,0.9100103339266113,0.9199910005061931
533758.0,471,0.0241211,0.767098,0.968022,198935,20,48,0.00980274,0.000209343,0.900991212511212,0.9855313096653499
892438.0,379,0.695418,0.142808,0.845767,15223,24,29,100000.0,100000.0,-315.22776601683796,-315.22776601683796
950775.0,233,0.110086,0.430036,0.474688,133518,12,10,0.00781357,0.0100838,0.9116055997248694,0.8995818741461483
613285.0,150,0.135932,0.77099,0.475985,153463,25,30,0.00797766,0.0129423,0.910682252603416,0.8862357701208328
712085.0,290,0.450315,0.281085,0.370909,163320,38,40,0.00512087,0.103026,0.9284397456684229,0.6790233653363535
552867.0,436,0.233668,0.265035,0.465017,187084,13,14,0.00758387,0.0248336,0.9129145821621094,0.8424131985222112
279431.0,72,0.709745,0.479349,0.986402,173914,19,19,0.00707531,0.0139896,0.915885138055157,0.8817223605240618
231382.0,313,0.574712,0.543756,0.568636,18487,32,46,100000.0,100000.0,-315.22776601683796,-315.22776601683796
699437.0,159,0.829,0.3217,0.145764,185019,38,47,0.000513509,0.531033,0.9773392630305191,0.27127988912065837
847798.0,47,0.773156,0.147499,0.258505,37770,47,21,3.11378e-20,0.657229,0.9999999998235409,0.18930338596981922
690584.0,82,0.726045,0.766291,0.260454,192390,17,28,0.00366742,0.320422,0.9394407727922491,0.43394169911571834
518162.0,270,0.797114,0.797315,0.670695,32239,43,21,0.00677493,0.0894983,0.9176900370550441,0.7008373352171097
521695.0,348,0.379482,0.143583,0.33772,32286,43,33,2.08317e-11,0.134439,0.9999954358242803,0.6333407576509219
361276.0,448,0.552754,0.533283,0.810488,76626,12,36,0.00818085,0.0185948,0.9095519486113715,0.8636372484877193
346272.0,318,0.645666,0.377264,0.252153,72156,42,13,0.00187717,0.26577,0.9566736800547289,0.4844711453274414
299550.0,65,0.0567582,0.510409,0.406322,85071,13,31,0.00515596,0.06127,0.9281949862474771,0.7524722237808452
348263.0,84,0.621719,0.70154,0.874988,79647,17,19,0.00189881,0.0326348,0.9564246629387677,0.8193489551649369
767443.0,138,0.211133,0.661168,0.959908,190439,46,32,0.00797316,0.00278647,0.9107074471190346,0.9472129750790973
752580.0,339,0.0609352,0.708086,0.671001,197628,28,43,0.00931034,0.00145605,0.9035098968805608,0.961841776770924
277759.0,426,0.0601123,0.685208,0.683828,109548,31,20,0.00921422,0.00198572,0.9040092712810243,0.9554385817101834
285342.0,492,0.0736348,0.490762,0.47038,15092,35,43,0.00386179,0.00818791,0.9378566978669463,0.9095129291003405
